# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,714.00,13.68,554.00,13.68,814.27,35.34,79.27,87.57,84.99,100.00,5.32
6,638.00,13.68,564.00,13.68,814.30,35.30,79.09,87.46,84.99,100.00,4.16
9,566.00,13.69,494.00,13.68,814.38,35.30,79.09,87.46,84.99,100.00,4.03
12,642.00,13.69,566.00,13.68,814.35,35.40,79.11,87.46,84.99,100.00,5.40
15,642.00,13.69,580.00,13.68,814.32,35.37,79.12,87.35,84.99,100.00,4.30
18,570.00,13.69,508.00,13.69,814.18,35.13,79.12,87.46,84.99,100.00,4.06
21,632.00,13.69,564.00,13.68,814.31,35.42,79.12,87.46,84.99,100.00,4.61
24,632.00,13.69,564.00,13.68,814.30,35.71,79.18,87.35,84.99,100.00,4.05
27,626.00,13.69,560.00,13.68,814.29,35.71,79.21,87.35,84.99,100.00,4.42
30,636.00,13.69,908.00,13.74,814.24,36.13,79.25,87.35,84.99,100.00,5.82
33,576.00,13.76,512.00,13.76,814.18,35.47,79.27,87.35,84.99,100.00,5.75
36,5164.00,13.76,574.00,13.70,814.27,35.63,79.32,87.35,85.10,100.00,5.94
39,5712.00,13.76,210.00,13.69,814.36,35.63,79.36,87.35,84.99,100.00,5.07
42,5724.00,13.70,560.00,13.70,814.32,35.10,79.39,87.35,84.99,100.00,4.94
45,410.00,13.70,502.00,13.70,814.34,34.60,79.41,87.35,85.10,100.00,4.71
48,558.00,13.70,494.00,13.70,814.31,34.82,79.38,87.35,84.99,100.00,6.30
51,632.00,13.70,560.00,13.69,814.23,34.53,79.36,87.35,84.99,100.00,6.61
54,564.00,13.70,502.00,13.70,814.24,34.43,79.34,87.35,84.99,100.00,6.50
57,642.00,13.70,558.00,13.70,814.21,34.68,79.34,87.35,85.10,100.00,5.99
60,574.00,13.70,494.00,13.70,814.22,34.61,79.32,87.35,84.99,100.00,5.45
63,570.00,13.70,502.00,13.70,814.15,34.89,79.34,87.35,84.99,100.00,5.53
66,626.00,13.70,574.00,13.69,814.22,34.54,79.34,87.35,85.10,100.00,5.07
69,566.00,13.70,504.00,13.70,814.26,34.83,79.34,87.35,84.99,100.00,5.42
72,558.00,13.70,514.00,13.70,814.24,35.03,79.34,87.35,84.99,100.00,6.12
75,632.00,13.70,564.00,13.69,814.31,35.29,79.36,87.35,84.99,100.00,5.73
78,630.00,13.69,564.00,13.69,814.24,35.10,79.34,87.35,84.99,100.00,5.48
81,638.00,13.69,560.00,13.68,814.33,34.67,79.36,87.35,84.99,100.00,5.28
84,584.00,13.69,564.00,13.68,814.27,34.41,79.29,87.35,85.10,100.00,4.77
87,638.00,13.69,558.00,13.68,814.25,34.21,79.23,87.35,85.10,100.00,4.31
90,570.00,13.68,498.00,13.68,814.19,34.36,79.18,87.35,85.10,100.00,6.12
93,566.00,13.68,494.00,13.68,814.26,35.00,79.12,87.35,85.10,100.00,5.04
96,632.00,13.68,570.00,13.68,814.25,34.91,79.12,87.35,84.99,100.00,5.99
99,566.00,13.68,502.00,13.68,814.27,35.15,79.12,87.35,84.99,100.00,6.65
102,630.00,13.68,796.00,13.71,814.28,34.48,79.09,87.35,84.99,100.00,4.25
105,636.00,13.72,580.00,13.72,814.29,34.50,79.09,87.35,84.99,100.00,4.04
108,1236.00,13.72,504.00,13.72,814.29,34.10,79.05,87.35,85.10,100.00,3.34
111,4430.00,13.71,386.00,13.68,814.23,34.70,79.05,87.35,84.99,100.00,3.41
114,4846.00,13.68,554.00,13.68,814.24,35.02,79.07,87.46,84.99,100.00,4.47
117,626.00,13.69,560.00,13.68,814.22,35.23,79.09,87.35,84.99,100.00,4.73
120,622.00,13.69,560.00,13.68,814.36,34.90,79.11,87.35,84.99,100.00,6.21
123,564.00,13.69,498.00,13.68,814.28,34.51,79.05,87.46,84.99,100.00,4.47
126,570.00,13.69,502.00,13.68,814.23,35.11,79.05,87.35,84.99,100.00,6.00
129,626.00,13.68,570.00,13.68,814.36,35.26,79.07,87.35,84.99,100.00,4.82
132,570.00,13.69,504.00,13.68,814.23,34.67,79.05,87.35,84.99,100.00,4.33
135,576.00,13.68,508.00,13.68,814.19,34.74,79.07,87.35,84.99,100.00,6.14
138,576.00,13.68,512.00,13.67,814.19,34.90,79.07,87.46,84.99,100.00,6.29
141,574.00,13.68,502.00,13.67,814.20,34.72,79.07,87.35,84.99,100.00,6.30
144,574.00,13.68,504.00,13.67,814.25,34.89,79.07,87.35,84.99,100.00,5.14
147,558.00,13.68,492.00,13.67,814.27,34.57,79.09,87.46,84.99,100.00,5.69
150,564.00,13.68,494.00,13.67,814.14,34.17,79.00,87.35,84.99,100.00,3.87
153,630.00,13.67,558.00,13.66,814.25,34.53,79.00,87.46,84.99,100.00,3.17
156,636.00,13.67,564.00,13.66,814.24,35.11,79.00,87.46,84.99,100.00,4.53
159,642.00,13.67,560.00,13.66,814.14,35.33,78.98,87.35,84.99,100.00,5.57
162,584.00,13.66,502.00,13.66,814.24,34.97,79.00,87.46,84.99,100.00,4.88
165,636.00,13.67,570.00,13.70,814.25,35.19,79.03,87.46,84.99,100.00,4.26
168,570.00,13.66,560.00,13.70,814.21,35.55,79.07,87.46,84.99,100.00,3.30
171,114.00,13.70,576.00,13.70,814.38,35.10,79.09,87.35,84.99,100.00,4.77
174,3284.00,13.70,514.00,13.66,814.27,35.19,79.09,87.35,84.99,100.00,4.73
177,2786.00,13.67,538.00,13.66,814.26,35.39,79.11,87.46,84.99,100.00,4.88
180,2684.00,13.66,498.00,13.66,814.29,35.25,79.11,87.46,84.99,100.00,4.89
183,2796.00,13.66,558.00,13.66,814.24,35.03,79.09,87.46,84.99,100.00,4.67
186,648.00,13.67,492.00,13.66,814.29,35.68,79.05,87.46,84.99,100.00,5.01
189,574.00,13.66,498.00,13.66,814.25,35.47,79.07,87.46,84.99,100.00,4.51
192,566.00,13.66,504.00,13.66,814.31,35.24,79.09,87.46,84.99,100.00,4.76
195,636.00,13.66,574.00,13.66,814.29,35.36,79.09,87.46,84.99,100.00,4.33
198,626.00,13.66,574.00,13.65,814.32,34.54,79.07,87.46,84.99,100.00,3.53
201,566.00,13.66,502.00,13.66,814.23,34.85,79.05,87.46,85.10,100.00,2.83
204,570.00,13.66,508.00,13.66,814.33,35.28,79.07,87.46,84.99,100.00,4.66
207,576.00,13.66,502.00,13.65,814.26,35.62,79.05,87.46,84.99,100.00,4.61
210,636.00,13.66,560.00,13.65,814.32,35.55,79.07,87.46,84.99,100.00,4.87
213,646.00,13.66,564.00,13.66,814.27,35.45,79.07,87.35,84.99,100.00,4.68
216,626.00,13.66,564.00,13.66,814.28,35.96,79.11,87.35,84.99,100.00,4.06
219,570.00,13.66,494.00,13.66,814.33,36.05,79.12,87.46,84.99,100.00,5.10
222,560.00,13.66,494.00,13.66,814.33,35.60,79.12,87.46,84.99,100.00,5.08
225,558.00,13.67,504.00,13.66,814.27,35.60,79.14,87.35,84.99,100.00,4.63
228,636.00,13.67,574.00,13.66,814.26,35.76,79.14,87.46,84.99,100.00,3.71
231,564.00,13.68,512.00,13.67,814.29,35.00,79.14,87.46,84.99,100.00,4.63
234,642.00,13.68,580.00,13.69,814.28,35.58,79.12,87.46,84.99,100.00,4.18
237,638.00,13.70,586.00,13.71,814.24,35.68,79.14,87.46,84.99,100.00,4.24
240,636.00,13.73,576.00,13.73,814.22,35.71,79.14,87.46,84.99,100.00,5.02
243,4518.00,13.74,498.00,13.74,814.27,35.71,79.14,87.46,84.99,100.00,4.55
246,5052.00,13.76,502.00,13.76,814.13,35.16,79.09,87.46,84.99,100.00,4.37
