# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,0.00,0.08,0.00,0.34,829.77,33.16,78.13,-196.60,-196.60,0.00,3.67
6,0.00,0.08,0.00,0.35,829.81,33.70,78.13,-196.60,-196.60,0.00,3.66
9,0.00,0.08,0.00,0.36,829.74,33.69,78.13,-196.60,-196.60,0.00,3.66
12,0.00,0.08,0.00,0.37,829.73,33.73,78.13,-196.60,-196.60,0.00,3.66
15,0.00,0.08,0.00,0.37,829.75,33.41,78.13,-196.60,-196.60,0.00,3.66
18,0.00,0.08,0.00,0.38,829.73,33.33,78.10,-196.60,-196.60,0.00,3.66
21,0.00,0.08,0.00,0.38,829.80,33.72,78.12,-196.60,-196.60,0.00,3.66
24,0.00,0.08,0.00,0.39,829.77,33.92,78.10,-196.60,-196.60,0.00,3.66
27,0.00,0.08,0.00,0.39,829.76,33.67,78.08,-196.60,-196.60,0.00,3.66
30,0.00,0.08,0.00,0.39,829.73,34.51,78.08,-196.60,-196.60,0.00,3.66
33,0.00,0.08,0.00,0.40,829.80,34.49,78.08,-196.60,-196.60,0.00,3.67
36,0.00,0.08,0.00,0.40,829.69,34.40,78.04,-196.60,-196.60,0.00,3.66
39,0.00,0.08,0.00,0.40,829.73,34.16,78.04,-196.60,-196.60,0.00,3.66
42,0.00,0.08,0.00,0.40,829.81,34.72,78.04,-196.60,-196.60,0.00,3.66
45,0.00,0.08,0.00,0.40,829.76,34.68,78.03,-196.60,-196.60,0.00,3.66
48,0.00,0.08,0.00,0.40,829.72,34.71,78.03,-196.60,-196.60,0.00,3.66
51,0.00,0.08,0.00,0.40,829.76,34.69,78.03,-196.60,-196.60,0.00,3.66
54,0.00,0.08,0.00,0.40,829.74,34.82,78.01,-196.60,-196.60,0.00,3.67
57,0.00,0.08,0.00,0.39,829.74,34.95,78.01,-196.60,-196.60,0.00,3.67
60,0.00,0.08,0.00,0.40,829.76,35.14,77.97,-196.60,-196.60,0.00,3.67
63,0.00,0.08,0.00,0.40,829.74,34.81,77.97,-196.60,-196.60,0.00,3.67
66,0.00,0.08,0.00,0.40,829.73,34.83,77.95,-196.60,-196.60,0.00,3.67
69,0.00,0.08,0.00,0.40,829.72,34.69,77.95,-196.60,-196.60,0.00,3.66
72,0.00,0.08,0.00,0.40,829.77,34.79,77.95,-196.60,-196.60,0.00,3.66
