# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,950.00,12.75,606.00,12.74,810.26,37.38,73.85,73.63,73.40,3.78,1.90
6,800.00,12.75,548.00,12.74,810.27,37.42,73.63,73.51,73.29,3.75,2.39
9,754.00,12.74,494.00,12.74,810.32,37.60,73.63,73.51,73.29,3.72,2.33
12,748.00,12.74,482.00,12.74,810.26,37.72,73.60,73.51,73.29,3.70,1.92
15,734.00,12.74,494.00,12.74,810.27,37.73,73.62,73.51,73.40,3.66,1.81
18,740.00,12.74,484.00,12.73,810.26,37.70,73.58,73.51,73.40,3.63,2.03
21,750.00,12.73,488.00,12.73,810.31,37.94,73.56,73.51,73.40,3.60,1.93
24,740.00,12.73,484.00,12.73,810.33,37.89,73.56,73.40,73.40,3.57,1.81
27,734.00,12.73,484.00,12.73,810.38,38.00,73.54,73.40,73.40,3.54,1.81
30,734.00,12.73,492.00,12.72,810.31,38.27,73.53,73.40,73.40,3.50,1.83
33,738.00,12.73,476.00,12.72,810.30,38.15,73.51,73.40,73.40,3.47,1.60
36,740.00,12.73,488.00,12.72,810.28,37.85,73.49,73.40,73.51,3.45,1.73
39,744.00,12.73,492.00,12.72,810.36,38.09,73.45,73.40,73.40,3.41,1.51
42,802.00,12.73,550.00,12.72,810.32,37.94,73.44,73.40,73.51,3.38,1.73
45,730.00,12.72,482.00,12.72,810.28,37.94,73.44,73.40,73.51,3.35,2.30
48,800.00,12.73,544.00,12.72,810.27,38.01,73.42,73.40,73.51,3.32,2.31
51,812.00,12.72,550.00,12.72,810.31,37.96,73.40,73.40,73.51,3.29,2.81
54,800.00,12.72,550.00,12.71,810.33,38.26,73.38,73.29,73.51,3.26,2.82
57,730.00,12.72,476.00,12.72,810.28,38.19,73.36,73.29,73.51,3.23,2.74
60,806.00,12.72,550.00,12.71,810.33,37.99,73.35,73.29,73.51,3.21,2.48
63,800.00,12.72,544.00,12.71,810.29,38.12,73.36,73.29,73.51,3.18,2.48
66,740.00,12.72,492.00,12.72,810.26,38.00,73.35,73.29,73.51,3.15,2.21
69,796.00,12.71,550.00,12.71,810.28,38.07,73.35,73.29,73.51,3.13,2.73
72,734.00,12.72,482.00,12.71,810.30,38.04,73.35,73.29,73.51,3.10,2.92
75,796.00,12.71,558.00,12.71,810.29,38.01,73.35,73.29,73.51,3.07,2.71
78,806.00,12.71,548.00,12.71,810.35,38.17,73.33,73.29,73.63,3.04,2.43
81,802.00,12.71,548.00,12.71,810.22,38.04,73.31,73.29,73.51,3.02,2.44
84,738.00,12.71,494.00,12.71,810.36,38.09,73.31,73.29,73.51,2.99,3.09
87,730.00,12.71,482.00,12.70,810.31,38.05,73.31,73.29,73.51,2.96,2.61
90,738.00,12.71,482.00,12.71,810.31,38.06,73.31,73.29,73.51,2.94,2.50
93,806.00,12.71,550.00,12.70,810.26,38.17,73.31,73.29,73.51,2.92,2.43
96,740.00,12.71,488.00,12.70,810.28,38.13,73.31,73.29,73.51,2.90,2.88
99,796.00,12.71,554.00,12.70,810.23,37.85,73.33,73.18,73.51,2.88,2.75
102,728.00,12.71,554.00,12.70,810.29,37.99,73.36,73.29,73.51,2.86,2.38
105,734.00,12.71,478.00,12.70,810.29,37.77,73.38,73.18,73.63,2.84,2.87
108,738.00,12.71,492.00,12.70,810.29,38.00,73.42,73.29,73.63,2.82,3.02
111,738.00,12.71,488.00,12.70,810.28,38.04,73.44,73.29,73.63,2.62,2.99
114,738.00,12.71,488.00,12.70,810.32,38.03,73.44,73.29,73.63,2.50,3.52
117,730.00,12.71,488.00,12.70,810.32,37.64,73.47,73.18,73.63,1.33,3.33
120,730.00,12.71,484.00,12.70,810.30,37.55,73.49,73.18,73.51,2.50,2.44
123,792.00,12.70,554.00,12.70,810.30,37.70,73.49,73.18,73.63,2.57,2.75
126,802.00,12.71,550.00,12.70,810.29,37.86,73.54,73.18,73.63,2.44,2.84
129,744.00,12.70,482.00,12.70,810.32,37.82,73.53,73.29,73.63,2.45,2.74
132,730.00,12.71,492.00,12.70,810.27,37.74,73.53,73.18,73.63,2.48,2.71
135,728.00,12.70,482.00,12.70,810.31,37.74,73.56,73.29,73.63,2.48,2.32
138,796.00,12.71,550.00,12.70,810.31,37.84,73.56,73.18,73.63,2.64,2.69
