# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
141,730.00,12.70,488.00,12.70,810.31,37.77,73.56,73.18,73.63,2.62,2.54
144,802.00,12.70,544.00,12.70,810.28,37.67,73.58,73.06,73.63,2.59,2.31
147,740.00,12.70,488.00,12.70,810.34,37.91,73.60,73.18,73.63,2.58,2.43
150,728.00,12.70,494.00,12.70,810.28,37.86,73.58,73.18,73.63,2.56,2.32
153,730.00,12.70,484.00,12.70,810.37,37.93,73.58,73.06,73.63,2.55,2.21
156,738.00,12.70,484.00,12.70,810.27,37.93,73.58,73.18,73.63,2.53,2.01
159,744.00,12.70,488.00,12.70,810.28,38.04,73.56,73.18,73.63,2.52,2.29
162,740.00,12.70,482.00,12.70,810.30,37.89,73.58,73.18,73.63,2.51,2.21
165,740.00,12.70,484.00,12.70,810.33,37.83,73.58,73.06,73.63,2.50,2.30
168,738.00,12.70,494.00,12.69,810.24,37.82,73.58,73.06,73.63,2.52,2.37
171,796.00,12.70,544.00,12.69,810.31,37.99,73.54,73.06,73.63,2.50,2.59
174,730.00,12.70,478.00,12.70,810.35,37.82,73.54,73.06,73.63,2.49,2.21
177,802.00,12.70,492.00,12.69,810.33,37.98,73.54,73.06,73.63,2.48,2.12
180,810.00,12.70,548.00,12.69,810.31,37.98,73.54,73.06,73.63,2.47,2.04
183,802.00,12.70,548.00,12.69,810.29,37.91,73.56,73.06,73.63,2.45,1.86
186,796.00,12.70,554.00,12.70,810.26,37.93,73.54,73.06,73.63,2.44,1.63
189,734.00,12.69,478.00,12.69,810.33,37.93,73.54,73.06,73.74,2.43,1.81
192,790.00,12.69,540.00,12.69,810.28,38.03,73.53,73.06,73.63,2.41,2.14
195,796.00,12.69,550.00,12.69,810.28,38.16,73.53,73.06,73.63,2.41,2.27
198,734.00,12.70,484.00,12.69,810.28,37.79,73.51,73.06,73.63,2.39,2.31
201,800.00,12.70,554.00,12.69,810.28,37.79,73.53,72.95,73.63,2.37,2.38
204,740.00,12.70,488.00,12.69,810.29,38.00,73.49,73.06,73.63,2.35,1.91
207,734.00,12.69,488.00,12.69,810.29,38.04,73.49,73.06,73.63,2.34,1.72
210,734.00,12.70,478.00,12.69,810.29,38.16,73.47,73.06,73.63,2.33,1.66
213,790.00,12.69,554.00,12.69,810.29,38.11,73.47,73.06,73.63,2.31,1.33
216,730.00,12.70,488.00,12.69,810.29,37.85,73.47,73.06,73.74,2.30,1.23
219,806.00,12.69,544.00,12.69,810.28,37.85,73.47,73.06,73.74,2.30,1.30
222,738.00,12.69,488.00,12.69,810.31,37.85,73.47,73.06,73.63,2.29,1.24
225,738.00,12.69,492.00,12.69,810.25,38.08,73.47,73.06,73.63,2.27,1.05
228,790.00,12.69,544.00,12.69,810.30,37.93,73.47,73.06,73.63,2.25,0.90
231,790.00,12.69,548.00,12.69,810.28,37.89,73.47,73.06,73.74,2.24,0.80
234,800.00,12.69,554.00,12.69,810.33,38.09,73.47,73.06,73.74,2.23,0.80
237,730.00,12.69,482.00,12.69,810.35,38.11,73.45,73.06,73.74,2.21,1.10
240,796.00,12.69,548.00,12.69,810.31,37.95,73.42,73.06,73.63,2.20,2.13
243,734.00,12.69,492.00,12.69,810.28,38.39,73.44,73.06,73.74,2.19,1.92
246,738.00,12.69,478.00,12.69,810.31,38.49,73.42,73.06,73.74,2.17,2.02
249,734.00,12.69,484.00,12.69,810.30,38.29,73.38,73.18,73.74,2.17,1.63
252,730.00,12.69,492.00,12.69,810.33,38.33,73.38,73.06,73.74,2.14,1.60
255,796.00,12.69,550.00,12.68,810.27,38.23,73.36,73.18,73.63,2.14,2.04
258,728.00,12.69,482.00,12.69,810.24,38.10,73.38,73.18,73.74,2.12,2.23
261,796.00,12.69,558.00,12.69,810.28,38.17,73.42,73.18,73.74,2.11,2.16
264,810.00,12.69,548.00,12.69,810.29,38.19,73.40,73.06,73.74,2.10,2.14
267,802.00,12.69,548.00,12.69,810.28,38.09,73.44,73.18,73.63,2.09,1.78
270,748.00,12.69,482.00,12.69,810.31,38.13,73.44,73.18,73.74,2.07,1.52
273,790.00,12.69,548.00,12.68,810.32,38.38,73.45,73.06,73.74,2.06,1.73
276,790.00,12.69,548.00,12.68,810.29,38.18,73.45,73.06,73.63,2.05,2.09
279,728.00,12.69,482.00,12.69,810.28,38.03,73.47,73.18,73.63,2.04,2.21
282,728.00,12.69,482.00,12.68,810.32,38.05,73.47,73.06,73.74,2.03,2.11
285,812.00,12.69,554.00,12.68,810.29,38.07,73.49,73.18,73.74,2.02,1.93
288,740.00,12.69,476.00,12.68,810.29,38.14,73.49,73.29,73.63,2.00,1.45
291,740.00,12.69,488.00,12.69,810.33,38.07,73.49,73.29,73.74,2.00,2.20
294,806.00,12.69,560.00,12.69,810.30,37.93,73.51,73.40,73.74,1.99,2.23
297,738.00,12.69,476.00,12.68,810.25,38.09,73.53,73.40,73.74,1.98,1.92
300,734.00,12.69,478.00,12.68,810.23,37.91,73.51,73.40,73.63,1.96,1.81
303,734.00,12.69,488.00,12.68,810.32,38.08,73.53,73.40,73.74,1.95,1.71
306,728.00,12.69,492.00,12.68,810.29,38.19,73.53,73.40,73.63,1.94,1.50
309,730.00,12.69,478.00,12.69,810.27,37.87,73.53,73.40,73.74,1.93,1.99
312,800.00,12.69,550.00,12.68,810.27,38.00,73.53,73.40,73.74,1.92,2.48
315,806.00,12.69,554.00,12.68,810.33,37.70,73.54,73.40,73.74,1.91,2.54
318,734.00,12.69,478.00,12.68,810.31,37.70,73.54,73.51,73.74,1.90,2.54
321,800.00,12.69,550.00,12.68,810.31,37.66,73.54,73.51,73.63,1.87,2.31
324,730.00,12.69,482.00,12.68,810.30,37.74,73.56,73.51,73.74,1.88,2.23
327,730.00,12.69,484.00,12.69,810.27,37.81,73.56,73.63,73.63,1.87,1.92
330,728.00,12.69,478.00,12.68,810.29,37.79,73.58,73.63,73.74,1.86,1.63
333,738.00,12.69,482.00,12.69,810.33,37.73,73.58,73.63,73.74,1.85,1.42
336,744.00,12.69,484.00,12.68,810.33,37.88,73.58,73.74,73.74,1.84,1.50
339,738.00,12.69,484.00,12.68,810.24,37.62,73.58,73.63,73.63,1.81,1.50
342,812.00,12.69,540.00,12.68,810.24,37.99,73.56,73.74,73.74,1.80,1.52
345,792.00,12.69,478.00,12.68,810.27,37.90,73.58,73.74,73.74,1.79,1.63
348,728.00,12.69,492.00,12.68,810.28,37.82,73.56,73.74,73.74,1.79,1.35
351,796.00,12.69,550.00,12.68,810.31,37.96,73.56,73.74,73.74,1.79,1.30
354,728.00,12.69,488.00,12.68,810.26,38.00,73.53,73.74,73.74,1.77,1.42
357,734.00,12.69,494.00,12.68,810.33,38.12,73.53,73.74,73.63,1.77,1.42
360,792.00,12.69,554.00,12.68,810.28,38.15,73.53,73.74,73.74,1.77,1.42
363,796.00,12.69,544.00,12.68,810.28,38.01,73.51,73.85,73.74,1.76,1.40
366,728.00,12.69,478.00,12.68,810.34,37.72,73.51,73.85,73.74,1.75,1.33
369,800.00,12.69,558.00,12.68,810.27,37.84,73.51,73.74,73.74,1.73,1.20
