# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,472.00,13.03,550.00,13.03,813.76,36.76,73.85,79.02,80.71,58.88,2.37
6,400.00,13.03,560.00,13.03,813.77,36.80,73.65,79.14,80.82,58.93,2.67
9,322.00,13.04,484.00,13.03,813.76,36.86,73.71,79.02,80.82,58.93,2.34
12,330.00,13.04,492.00,13.03,813.82,36.90,73.71,79.02,80.82,59.05,1.90
15,396.00,13.03,558.00,13.03,813.77,36.95,73.74,79.02,80.82,59.10,2.30
18,328.00,13.03,478.00,13.03,813.77,36.81,73.76,78.91,80.82,59.17,2.01
21,322.00,13.03,494.00,13.03,813.73,36.62,73.80,79.02,80.82,59.23,2.04
24,390.00,13.03,564.00,13.03,813.74,36.68,73.81,79.02,80.82,59.29,2.05
27,396.00,13.03,554.00,13.03,813.81,36.61,73.83,78.91,80.82,59.34,2.48
30,330.00,13.03,488.00,13.03,813.76,36.50,73.87,79.02,80.82,59.40,1.80
33,386.00,13.04,564.00,13.02,813.80,36.64,73.89,78.91,80.71,59.46,2.48
36,390.00,13.03,554.00,13.02,813.76,36.67,73.90,78.91,80.82,59.51,2.29
39,318.00,13.03,488.00,13.03,813.80,36.69,73.92,78.91,80.82,59.56,2.00
42,314.00,13.03,494.00,13.03,813.77,36.91,73.94,78.91,80.71,59.60,2.20
45,384.00,13.03,554.00,13.02,813.80,36.64,73.92,78.91,80.82,59.65,2.60
48,318.00,13.03,502.00,13.03,813.86,37.10,73.90,78.91,80.71,59.70,4.87
51,384.00,13.03,558.00,13.02,813.80,37.02,73.87,78.91,80.71,59.75,4.01
54,318.00,13.04,478.00,13.03,813.72,36.89,73.85,79.02,80.82,59.78,2.95
57,318.00,13.03,566.00,13.02,813.80,37.04,73.81,78.91,80.71,59.83,3.33
60,312.00,13.03,482.00,13.03,813.72,37.09,73.81,78.91,80.71,59.87,4.00
63,318.00,13.03,492.00,13.03,813.83,36.99,73.80,78.80,80.71,59.91,3.22
66,390.00,13.03,560.00,13.03,813.80,36.72,73.80,78.91,80.71,59.95,2.47
69,384.00,13.03,554.00,13.03,813.79,37.40,73.78,78.80,80.71,60.00,2.91
72,376.00,13.03,560.00,13.03,813.86,37.39,73.76,78.91,80.71,60.03,2.91
75,308.00,13.04,488.00,13.02,813.77,37.18,73.78,78.91,80.71,60.08,2.45
78,312.00,13.03,484.00,13.03,813.81,37.08,73.76,78.91,80.71,60.11,2.20
