# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,884.00,12.91,534.00,12.90,815.28,81.62,62.47,63.39,62.82,0.00,1.22
6,738.00,12.91,484.00,12.90,815.39,81.60,62.31,63.50,62.94,0.00,1.12
9,730.00,12.91,478.00,12.90,815.37,81.79,62.29,63.50,62.94,0.00,1.12
12,802.00,12.91,558.00,12.90,815.30,81.87,62.31,63.50,62.82,0.00,0.99
15,810.00,12.91,548.00,12.91,815.26,81.86,62.28,63.50,62.82,0.00,0.99
18,734.00,12.91,482.00,12.90,815.32,81.98,62.28,63.50,62.82,0.00,0.96
21,802.00,12.91,548.00,12.90,815.34,81.87,62.29,63.50,62.94,0.00,0.90
24,738.00,12.91,482.00,12.91,815.26,81.90,62.28,63.61,62.94,0.00,1.02
27,734.00,12.91,482.00,12.91,815.32,81.85,62.28,63.50,62.82,0.00,1.02
30,812.00,12.91,544.00,12.90,815.32,81.96,62.28,63.61,62.82,0.00,0.90
33,802.00,12.91,550.00,12.90,815.33,81.90,62.28,63.61,62.94,0.00,0.80
36,734.00,12.91,484.00,12.90,815.27,82.00,62.28,63.61,62.82,0.00,0.88
39,806.00,12.91,560.00,12.90,815.29,82.32,62.28,63.72,62.94,0.00,0.99
42,800.00,12.91,544.00,12.90,815.34,82.24,62.26,63.72,62.82,0.00,0.99
45,802.00,12.91,560.00,12.90,815.34,82.26,62.26,63.84,62.94,0.00,1.10
48,754.00,12.91,482.00,12.90,815.33,82.11,62.26,63.72,62.82,0.00,0.94
51,792.00,12.91,554.00,12.90,815.33,82.41,62.24,63.72,62.94,0.00,0.99
54,802.00,12.91,540.00,12.90,815.33,82.13,62.24,63.84,62.82,0.00,1.10
57,802.00,12.91,554.00,12.90,815.30,81.99,62.24,63.84,62.94,0.00,1.23
60,738.00,12.91,482.00,12.90,815.28,81.86,62.24,63.84,62.94,0.00,1.30
63,806.00,12.91,550.00,12.90,815.28,81.98,62.24,63.84,62.82,0.00,1.20
66,740.00,12.91,478.00,12.90,815.37,81.73,62.24,63.84,62.94,0.00,1.22
69,738.00,12.91,484.00,12.90,815.30,81.87,62.26,63.95,62.94,0.00,1.30
72,810.00,12.91,550.00,12.90,815.25,81.83,62.26,63.84,62.94,0.00,1.20
75,800.00,12.91,544.00,12.90,815.28,81.98,62.24,63.84,62.94,0.00,1.10
78,800.00,12.91,550.00,12.90,815.30,82.01,62.28,63.84,62.82,0.00,1.11
81,744.00,12.91,482.00,12.90,815.28,81.86,62.26,63.95,62.82,0.00,1.22
84,730.00,12.91,498.00,12.90,815.31,81.95,62.28,63.84,62.94,0.00,1.39
87,738.00,12.91,478.00,12.90,815.17,81.82,62.26,63.84,62.82,0.00,1.80
90,744.00,12.91,484.00,12.90,815.39,81.73,62.28,63.84,62.94,0.00,1.70
93,792.00,12.91,548.00,12.90,815.22,81.84,62.28,63.84,62.94,0.00,1.72
96,738.00,12.91,488.00,12.90,815.28,81.72,62.26,63.95,62.94,0.00,1.80
99,812.00,12.91,540.00,12.90,815.24,81.93,62.26,63.84,62.82,0.00,1.80
102,800.00,12.91,550.00,12.90,815.30,82.05,62.28,63.84,62.82,0.00,1.40
105,738.00,12.91,482.00,12.90,815.37,81.88,62.26,63.95,62.94,0.00,1.30
108,800.00,12.91,548.00,12.90,815.33,81.84,62.26,63.84,62.94,0.00,1.20
111,740.00,12.91,482.00,12.90,815.28,81.78,62.26,63.95,62.82,0.00,1.32
114,750.00,12.91,482.00,12.90,815.32,81.75,62.26,63.84,62.94,0.00,1.44
117,738.00,12.91,484.00,12.90,815.29,81.96,62.28,63.95,62.82,0.00,1.50
120,800.00,12.91,548.00,12.90,815.39,81.83,62.24,63.95,62.82,0.00,1.72
123,738.00,12.91,488.00,12.90,815.30,82.01,62.28,63.84,62.94,0.00,1.70
126,812.00,12.91,544.00,12.90,815.26,82.11,62.26,63.84,62.82,0.00,1.81
129,740.00,12.91,484.00,12.90,815.29,82.06,62.26,63.84,62.94,0.00,1.54
132,738.00,12.91,478.00,12.90,815.30,82.01,62.28,63.84,62.94,0.00,1.42
135,734.00,12.91,484.00,12.90,815.26,82.00,62.24,63.84,62.82,0.00,1.60
138,734.00,12.91,478.00,12.90,815.29,81.71,62.24,63.84,62.82,0.00,1.28
141,744.00,12.91,482.00,12.90,815.30,81.81,62.24,63.95,62.82,0.00,1.12
144,802.00,12.91,544.00,12.90,815.33,81.63,62.24,63.95,62.82,0.00,0.99
147,800.00,12.91,550.00,12.90,815.33,81.79,62.26,63.84,62.94,0.00,1.10
150,816.00,12.91,484.00,12.90,815.21,81.56,62.24,63.84,62.94,0.00,1.22
153,734.00,12.91,482.00,12.90,815.31,81.73,62.26,63.84,62.94,0.00,1.22
156,810.00,12.91,550.00,12.90,815.28,81.69,62.26,63.84,62.94,0.00,1.20
159,810.00,12.91,550.00,12.90,815.28,81.83,62.26,63.95,62.94,0.00,1.10
162,730.00,12.91,484.00,12.90,815.25,81.83,62.26,63.95,62.82,0.00,1.03
165,738.00,12.91,478.00,12.90,815.29,81.70,62.28,63.84,62.82,0.00,1.02
168,806.00,12.91,558.00,12.90,815.31,81.62,62.26,63.95,62.94,0.00,0.90
171,738.00,12.91,478.00,12.90,815.31,81.72,62.26,63.84,62.82,0.00,0.90
174,740.00,12.91,488.00,12.90,815.34,81.59,62.28,63.95,62.94,0.00,0.89
177,802.00,12.91,548.00,12.90,815.39,81.64,62.28,63.95,62.94,0.00,0.82
180,796.00,12.91,550.00,12.90,815.28,81.71,62.26,63.95,62.94,0.00,0.90
183,738.00,12.91,492.00,12.90,815.36,81.96,62.28,63.84,62.94,0.00,1.01
186,810.00,12.91,548.00,12.90,815.28,81.67,62.28,63.95,62.94,0.00,0.99
189,738.00,12.91,482.00,12.90,815.32,81.63,62.26,63.84,62.82,0.00,0.82
192,740.00,12.91,482.00,12.90,815.23,81.77,62.26,63.95,62.82,0.00,0.69
195,806.00,12.91,550.00,12.90,815.25,81.78,62.29,63.95,62.82,0.00,0.62
198,800.00,12.91,538.00,12.90,815.26,81.77,62.28,63.95,62.82,0.00,0.50
201,806.00,12.91,558.00,12.90,815.32,81.78,62.24,63.95,62.94,0.00,0.39
204,740.00,12.91,484.00,12.90,815.23,81.72,62.26,63.95,62.82,0.00,0.69
207,806.00,12.91,548.00,12.90,815.28,81.91,62.26,63.84,62.82,0.00,0.90
210,802.00,12.91,550.00,12.90,815.27,82.00,62.26,63.95,62.94,0.00,0.79
213,738.00,12.91,484.00,12.90,815.30,81.84,62.24,63.84,62.82,0.00,0.64
216,796.00,12.91,548.00,12.90,815.26,81.89,62.26,63.84,62.94,0.00,0.50
