# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,938.00,12.88,750.00,12.87,813.89,43.26,74.61,74.41,74.75,1.00,0.50
6,802.00,12.89,494.00,12.88,813.90,43.38,74.46,74.52,74.75,1.00,0.39
9,810.00,12.89,544.00,12.88,813.90,43.40,74.46,74.64,74.86,0.99,0.39
12,802.00,12.88,560.00,12.88,813.95,43.43,74.48,74.64,74.75,0.99,0.31
15,744.00,12.88,482.00,12.88,813.92,42.99,74.48,74.64,74.86,0.98,0.41
18,748.00,12.88,488.00,12.88,813.99,43.08,74.50,74.52,74.75,0.98,0.40
21,734.00,12.88,492.00,12.88,813.88,43.35,74.50,74.52,74.75,0.97,0.29
24,738.00,12.88,482.00,12.88,813.88,43.65,74.50,74.52,74.75,0.97,0.39
27,802.00,12.88,550.00,12.87,813.88,43.61,74.50,74.52,74.86,0.96,0.29
30,802.00,12.88,544.00,12.88,813.91,43.62,74.52,74.52,74.75,0.95,0.39
33,810.00,12.88,554.00,12.88,813.93,43.46,74.50,74.64,74.75,0.95,0.39
36,810.00,12.88,548.00,12.88,813.95,43.85,74.52,74.64,74.86,0.94,0.41
39,800.00,12.88,560.00,12.88,813.89,43.65,74.50,74.64,74.75,0.94,0.42
42,800.00,12.88,548.00,12.88,813.85,43.52,74.50,74.64,74.86,0.93,0.42
45,810.00,12.88,558.00,12.88,813.93,43.58,74.50,74.64,74.75,0.93,0.41
48,734.00,12.88,482.00,12.88,813.90,43.61,74.50,74.64,74.86,0.92,0.39
51,738.00,12.88,482.00,12.88,813.84,43.63,74.50,74.64,74.86,0.92,0.29
54,802.00,12.88,548.00,12.88,813.91,43.72,74.50,74.64,74.86,0.91,0.31
57,796.00,12.88,550.00,12.87,813.92,43.97,74.48,74.64,74.86,0.90,0.31
60,810.00,12.88,554.00,12.88,813.92,43.62,74.48,74.64,74.86,0.90,0.41
63,806.00,12.88,550.00,12.87,813.93,43.47,74.48,74.64,74.86,0.89,0.49
66,730.00,12.88,492.00,12.88,813.91,43.85,74.48,74.75,74.86,0.89,0.50
69,738.00,12.88,478.00,12.88,813.93,43.46,74.46,74.64,74.75,0.88,0.52
72,810.00,12.89,554.00,12.88,813.87,43.54,74.46,74.64,74.75,0.87,0.49
75,730.00,12.88,482.00,12.88,813.88,43.86,74.46,74.64,74.86,0.87,0.49
78,748.00,12.89,482.00,12.88,813.86,43.85,74.46,74.64,74.75,0.87,0.50
81,744.00,12.88,494.00,12.88,813.93,44.11,74.44,74.64,74.75,0.86,0.39
84,738.00,12.88,478.00,12.88,813.93,44.10,74.44,74.64,74.75,0.85,0.39
87,748.00,12.89,488.00,12.88,813.95,43.71,74.44,74.64,74.75,0.85,0.42
90,740.00,12.88,478.00,12.88,813.91,44.09,74.44,74.64,74.86,0.84,0.41
93,784.00,12.88,564.00,12.88,813.89,43.87,74.43,74.64,74.75,0.83,0.51
96,812.00,12.88,540.00,12.88,813.89,43.56,74.43,74.64,74.86,0.83,0.49
99,744.00,12.88,484.00,12.88,813.84,43.90,74.41,74.64,74.86,0.82,0.49
102,800.00,12.88,548.00,12.88,813.94,44.10,74.43,74.64,74.86,0.82,0.59
105,744.00,12.88,482.00,12.88,813.93,44.03,74.41,74.64,74.86,0.81,0.59
108,806.00,12.88,558.00,12.88,813.91,43.71,74.41,74.64,74.75,0.81,0.61
111,738.00,12.88,484.00,12.88,813.86,43.96,74.37,74.64,74.75,0.80,0.59
114,802.00,12.88,554.00,12.88,813.90,43.97,74.39,74.64,74.75,0.80,0.61
117,740.00,12.88,478.00,12.88,814.05,44.51,74.37,74.75,74.86,0.79,0.59
120,800.00,12.88,558.00,12.88,813.92,44.16,74.39,74.64,74.86,0.78,0.59
123,750.00,12.88,478.00,12.88,813.92,44.26,74.37,74.64,74.86,0.78,0.61
126,744.00,12.88,482.00,12.88,813.86,44.16,74.35,74.64,74.75,0.78,0.59
129,796.00,12.88,558.00,12.88,814.02,44.28,74.37,74.64,74.86,0.77,0.61
132,750.00,12.88,482.00,12.88,813.96,44.25,74.35,74.64,74.86,0.76,0.59
135,810.00,12.88,550.00,12.88,813.89,44.15,74.35,74.64,74.75,0.76,0.62
138,738.00,12.88,484.00,12.88,813.98,44.13,74.35,74.64,74.86,0.75,0.59
141,750.00,12.88,492.00,12.88,813.97,44.44,74.34,74.64,74.75,0.74,0.52
144,800.00,12.88,548.00,12.88,813.96,44.14,74.34,74.64,74.86,0.74,0.52
147,802.00,12.88,550.00,12.88,813.97,44.24,74.34,74.64,74.86,0.74,0.50
150,744.00,12.88,488.00,12.88,813.96,44.61,74.32,74.64,74.75,0.73,0.51
153,806.00,12.88,550.00,12.88,813.97,44.95,74.30,74.64,74.75,0.73,0.51
156,802.00,12.88,554.00,12.88,813.97,44.61,74.28,74.64,74.75,0.72,0.49
159,740.00,12.88,482.00,12.88,813.94,44.62,74.26,74.75,74.75,0.72,0.50
