# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
204,730.00,12.68,482.00,12.67,810.18,36.82,73.85,73.63,73.51,0.70,2.20
207,802.00,12.68,540.00,12.67,810.28,36.64,73.90,73.51,73.63,0.69,2.41
210,738.00,12.68,478.00,12.67,810.16,36.53,73.90,73.63,73.51,0.68,2.33
213,806.00,12.68,544.00,12.67,810.26,36.76,73.90,73.51,73.63,0.68,2.44
216,744.00,12.68,482.00,12.67,810.23,36.98,73.89,73.51,73.63,0.76,1.91
219,738.00,12.68,494.00,12.68,810.25,37.34,73.90,73.63,73.51,0.73,2.23
222,796.00,12.68,560.00,12.68,810.25,37.02,73.89,73.63,73.63,0.74,1.79
225,796.00,12.68,558.00,12.67,810.23,36.87,73.90,73.51,73.63,0.66,1.31
228,796.00,12.68,554.00,12.67,810.26,36.83,73.90,73.63,73.63,0.77,1.92
231,792.00,12.68,554.00,12.67,810.19,36.83,73.89,73.63,73.51,0.78,1.73
234,730.00,12.68,482.00,12.67,810.28,37.28,73.90,73.63,73.51,0.77,3.36
237,790.00,12.68,548.00,12.67,810.25,37.04,73.90,73.63,73.51,0.77,3.54
240,728.00,12.68,482.00,12.68,810.24,36.87,73.90,73.51,73.51,0.76,3.62
243,792.00,12.68,544.00,12.67,810.19,36.78,73.94,73.51,73.63,0.76,2.94
246,738.00,12.67,482.00,12.67,810.16,36.78,73.96,73.51,73.51,0.75,2.44
249,730.00,12.68,478.00,12.68,810.22,36.57,73.99,73.63,73.51,0.75,1.92
252,796.00,12.68,548.00,12.67,810.19,36.33,73.98,73.51,73.51,0.74,1.40
255,730.00,12.68,478.00,12.68,810.20,36.28,74.01,73.51,73.51,0.73,1.29
258,748.00,12.68,478.00,12.67,810.19,36.52,74.03,73.51,73.63,0.73,1.13
261,734.00,12.68,484.00,12.67,810.22,36.36,74.07,73.63,73.51,0.73,1.20
264,800.00,12.68,548.00,12.67,810.23,36.48,74.05,73.51,73.51,0.72,1.23
267,738.00,12.68,494.00,12.67,810.15,36.51,74.07,73.51,73.51,0.71,1.50
270,796.00,12.68,548.00,12.67,810.26,36.74,74.07,73.51,73.51,0.71,1.63
273,802.00,12.68,558.00,12.67,810.27,36.66,74.08,73.51,73.51,0.71,2.44
276,796.00,12.68,558.00,12.67,810.26,36.56,74.07,73.51,73.63,0.70,2.14
279,728.00,12.68,482.00,12.67,810.29,36.48,74.05,73.51,73.51,0.70,2.14
282,734.00,12.68,492.00,12.67,810.23,36.72,74.05,73.51,73.51,0.69,2.82
285,724.00,12.68,484.00,12.68,810.30,36.91,74.05,73.40,73.51,0.68,2.13
288,728.00,12.68,484.00,12.67,810.30,36.74,74.03,73.40,73.51,0.68,1.96
291,792.00,12.68,540.00,12.67,810.24,37.03,74.03,73.40,73.51,0.68,1.63
294,796.00,12.68,548.00,12.68,810.26,36.67,74.01,73.40,73.63,0.67,1.31
297,802.00,12.68,540.00,12.67,810.32,36.76,74.01,73.51,73.51,0.66,1.00
300,730.00,12.68,478.00,12.67,810.33,36.65,74.01,73.40,73.51,0.66,0.98
303,740.00,12.68,476.00,12.67,810.26,36.84,74.01,73.40,73.51,0.65,1.20
306,806.00,12.68,540.00,12.67,810.25,36.54,74.01,73.51,73.51,0.65,1.30
309,792.00,12.67,540.00,12.67,810.25,36.66,74.01,73.40,73.51,0.65,1.00
312,800.00,12.68,550.00,12.67,810.24,36.79,73.99,73.29,73.51,0.64,1.23
315,730.00,12.68,488.00,12.68,810.23,37.02,73.98,73.51,73.51,0.63,2.59
318,740.00,12.68,488.00,12.67,810.23,37.26,73.96,73.40,73.51,0.63,2.63
321,730.00,12.68,484.00,12.67,810.29,37.42,73.94,73.40,73.51,0.62,1.92
324,796.00,12.68,554.00,12.67,810.25,37.47,73.92,73.40,73.51,0.62,1.52
327,730.00,12.68,488.00,12.67,810.26,38.12,73.90,73.40,73.51,0.62,1.13
330,792.00,12.68,558.00,12.67,810.30,37.98,73.87,73.40,73.51,0.61,0.90
333,796.00,12.68,558.00,12.67,810.27,38.08,73.87,73.40,73.51,0.60,0.80
336,740.00,12.68,492.00,12.67,810.26,38.11,73.85,73.40,73.51,0.60,0.62
339,802.00,12.68,550.00,12.67,810.20,37.84,73.85,73.40,73.40,0.59,0.59
342,802.00,12.68,554.00,12.67,810.17,37.88,73.78,73.40,73.51,0.59,0.70
345,800.00,12.68,554.00,12.67,810.23,37.95,73.78,73.40,73.51,0.59,0.80
348,792.00,12.67,548.00,12.67,810.25,37.73,73.74,73.40,73.40,0.58,1.32
351,738.00,12.67,482.00,12.68,810.31,37.90,73.72,73.40,73.51,0.57,1.39
354,784.00,12.68,548.00,12.67,810.25,37.85,73.71,73.40,73.40,0.57,1.60
357,796.00,12.68,554.00,12.67,810.24,38.09,73.67,73.29,73.51,0.56,1.55
360,786.00,12.68,548.00,12.67,810.31,37.35,73.67,73.40,73.51,0.56,1.88
363,730.00,12.68,478.00,12.67,810.29,36.75,73.69,73.40,73.51,0.55,1.44
366,796.00,12.68,544.00,12.67,810.27,36.64,73.67,73.29,73.40,0.55,1.20
369,730.00,12.68,476.00,12.67,810.24,36.83,73.71,73.40,73.51,0.54,1.40
372,802.00,12.67,544.00,12.67,810.20,36.87,73.69,73.29,73.51,0.54,1.78
375,802.00,12.68,548.00,12.67,810.22,36.74,73.72,73.29,73.51,0.54,2.50
378,740.00,12.68,478.00,12.67,810.23,36.88,73.74,73.40,73.51,0.53,2.21
381,796.00,12.68,544.00,12.67,810.23,36.72,73.80,73.29,73.51,0.52,1.71
384,792.00,12.67,544.00,12.67,810.33,36.80,73.80,73.29,73.51,0.52,1.67
387,720.00,12.68,478.00,12.67,810.32,36.68,73.81,73.29,73.40,0.51,2.32
390,800.00,12.68,540.00,12.67,810.37,36.69,73.85,73.29,73.40,0.51,2.26
393,790.00,12.67,548.00,12.67,810.21,36.36,73.83,73.29,73.40,0.51,1.67
396,796.00,12.68,544.00,12.67,810.21,36.38,73.87,73.29,73.40,0.50,1.30
399,748.00,12.68,488.00,12.67,810.26,36.20,73.87,73.29,73.51,0.49,0.93
402,796.00,12.68,544.00,12.67,810.26,35.71,73.87,73.29,73.40,0.49,0.80
405,806.00,12.68,544.00,12.67,810.29,36.21,73.87,73.29,73.40,0.48,0.70
408,738.00,12.68,488.00,12.67,810.32,36.38,73.87,73.18,73.40,0.48,0.59
411,792.00,12.67,548.00,12.67,810.27,36.14,73.87,73.29,73.40,0.47,0.52
414,728.00,12.68,488.00,12.67,810.26,36.50,73.87,73.29,73.40,0.47,1.05
417,730.00,12.68,482.00,12.67,810.26,36.68,73.87,73.29,73.40,0.46,2.19
420,792.00,12.68,554.00,12.67,810.27,36.98,73.87,73.29,73.51,0.46,2.52
423,730.00,12.68,484.00,12.67,810.32,37.23,73.83,73.29,73.51,0.45,2.21
426,724.00,12.68,484.00,12.67,810.23,37.67,73.85,73.18,73.40,0.45,2.10
429,734.00,12.68,492.00,12.68,810.22,37.67,73.80,73.29,73.40,0.45,3.45
432,740.00,12.68,494.00,12.67,810.15,37.00,73.80,73.29,73.40,0.44,3.65
435,802.00,12.67,554.00,12.67,810.16,37.77,73.78,73.18,73.40,0.44,3.82
438,740.00,12.68,494.00,12.67,810.23,37.77,73.76,73.29,73.40,0.44,3.93
441,800.00,12.68,558.00,12.67,810.20,37.79,73.74,73.18,73.40,0.43,4.94
444,738.00,12.68,492.00,12.67,810.12,37.57,73.71,73.18,73.40,0.43,4.17
447,730.00,12.67,492.00,12.67,810.19,37.67,73.71,73.18,73.40,0.43,4.54
450,786.00,12.68,558.00,12.67,810.16,37.94,73.67,73.29,73.51,0.42,4.50
453,728.00,12.67,488.00,12.67,810.14,37.19,73.65,73.18,73.40,0.41,4.29
456,738.00,12.68,484.00,12.67,810.20,37.30,73.65,73.18,73.40,0.41,3.66
459,734.00,12.67,484.00,12.67,810.06,37.38,73.63,73.18,73.40,0.41,3.77
462,738.00,12.68,492.00,12.67,810.14,37.60,73.60,73.18,73.40,0.41,3.87
465,802.00,12.67,564.00,12.67,810.10,37.14,73.60,73.18,73.51,0.41,4.39
468,792.00,12.68,550.00,12.67,810.01,37.33,73.60,73.18,73.40,0.40,5.92
471,790.00,12.68,554.00,12.67,810.12,37.43,73.58,73.18,73.40,0.40,6.12
474,730.00,12.67,492.00,12.68,810.13,37.22,73.60,73.06,73.40,0.39,4.98
477,730.00,12.68,484.00,12.67,810.15,37.49,73.60,73.18,73.40,0.39,5.26
480,730.00,12.67,492.00,12.67,810.08,37.44,73.58,73.18,73.40,0.38,4.03
483,802.00,12.67,554.00,12.67,810.17,37.45,73.58,73.18,73.40,0.38,4.28
486,734.00,12.67,488.00,12.67,810.17,37.40,73.56,73.18,73.40,0.38,4.77
489,744.00,12.68,494.00,12.67,810.20,37.11,73.60,73.06,73.40,0.37,4.32
492,740.00,12.68,488.00,12.67,810.21,36.96,73.62,73.18,73.40,0.36,3.51
495,734.00,12.68,488.00,12.68,810.25,37.54,73.62,73.06,73.40,0.36,4.05
498,730.00,12.67,494.00,12.67,810.30,37.52,73.62,73.06,73.40,0.35,4.55
501,724.00,12.68,494.00,12.67,810.26,36.88,73.62,73.06,73.40,0.35,4.45
504,734.00,12.67,494.00,12.67,810.30,36.99,73.67,73.18,73.29,0.34,3.52
507,740.00,12.68,498.00,12.67,810.21,37.58,73.67,73.18,73.29,0.35,3.99
510,796.00,12.67,554.00,12.67,810.21,37.17,73.67,73.06,73.40,0.34,3.76
513,796.00,12.67,564.00,12.67,810.16,37.24,73.67,73.18,73.40,0.34,3.96
516,744.00,12.68,492.00,12.67,810.23,36.80,73.71,73.06,73.40,0.34,3.82
519,800.00,12.68,554.00,12.67,810.23,36.91,73.71,73.06,73.40,0.33,3.74
522,790.00,12.67,550.00,12.67,810.24,36.30,73.78,73.06,73.40,0.33,3.14
525,734.00,12.67,484.00,12.67,810.24,36.32,73.80,73.06,73.40,0.32,2.63
528,784.00,12.67,554.00,12.67,810.23,36.66,73.83,73.06,73.40,0.41,2.63
531,740.00,12.67,488.00,12.67,810.24,36.61,73.85,73.06,73.40,0.41,2.73
534,738.00,12.68,492.00,12.67,810.25,36.31,73.87,73.06,73.40,0.40,2.32
537,740.00,12.67,484.00,12.67,810.23,36.31,73.89,73.06,73.29,0.32,2.24
540,800.00,12.67,554.00,12.67,810.22,36.84,73.89,73.06,73.40,0.35,2.23
543,744.00,12.68,482.00,12.67,810.23,37.18,73.90,73.06,73.40,0.34,3.03
546,734.00,12.67,482.00,12.67,810.21,37.12,73.87,73.06,73.29,0.34,2.83
549,800.00,12.68,554.00,12.67,810.25,36.97,73.89,73.06,73.29,0.33,3.84
552,790.00,12.68,550.00,12.67,810.14,37.02,73.89,73.06,73.40,0.33,3.90
555,796.00,12.67,544.00,12.67,810.15,37.31,73.87,73.06,73.40,0.33,4.05
558,740.00,12.67,488.00,12.67,810.13,37.37,73.83,73.06,73.29,0.33,5.09
561,734.00,12.68,488.00,12.67,810.11,37.29,73.81,73.06,73.29,0.29,5.31
564,740.00,12.67,492.00,12.67,810.13,37.40,73.81,73.06,73.29,0.28,4.68
567,750.00,12.68,492.00,12.67,810.11,37.36,73.78,73.06,73.29,0.28,4.96
570,738.00,12.67,484.00,12.67,810.15,37.26,73.76,73.06,73.29,0.28,4.82
573,796.00,12.67,550.00,12.67,810.01,36.99,73.74,73.06,73.29,0.27,6.74
576,796.00,12.67,548.00,12.67,810.20,37.22,73.72,73.06,73.29,0.27,6.15
579,786.00,12.67,554.00,12.67,810.11,37.16,73.72,73.06,73.29,0.27,5.07
582,730.00,12.67,484.00,12.67,810.12,37.35,73.72,73.06,73.29,0.27,5.87
585,806.00,12.67,550.00,12.67,810.10,37.35,73.69,73.06,73.29,0.26,5.93
588,812.00,12.68,550.00,12.67,810.24,37.08,73.67,73.06,73.29,0.26,4.69
591,740.00,12.67,478.00,12.67,810.19,36.95,73.67,73.06,73.29,0.25,4.53
594,744.00,12.68,484.00,12.67,810.22,37.26,73.67,73.06,73.29,0.25,4.25
597,790.00,12.68,548.00,12.67,810.19,37.66,73.67,73.06,73.29,0.25,3.94
600,728.00,12.67,478.00,12.67,810.21,37.58,73.63,73.06,73.29,0.25,3.62
603,734.00,12.68,478.00,12.67,810.23,37.60,73.65,73.06,73.29,0.24,3.86
606,728.00,12.67,478.00,12.67,810.16,37.77,73.60,73.06,73.29,0.24,4.40
609,734.00,12.68,488.00,12.67,810.13,37.30,73.60,73.06,73.29,0.24,3.77
612,744.00,12.67,482.00,12.67,810.17,37.68,73.58,73.06,73.29,0.24,3.66
615,802.00,12.67,544.00,12.67,810.11,37.59,73.56,73.06,73.29,0.24,4.35
618,806.00,12.67,548.00,12.67,810.21,37.53,73.54,73.06,73.29,0.23,3.93
621,792.00,12.67,548.00,12.67,810.26,36.87,73.54,73.06,73.29,0.23,3.12
624,790.00,12.67,544.00,12.67,810.18,37.04,73.56,73.06,73.29,0.22,3.09
627,800.00,12.67,544.00,12.67,810.35,37.29,73.54,73.06,73.29,0.22,3.92
630,734.00,12.68,482.00,12.67,810.20,37.29,73.54,73.06,73.29,0.22,3.44
633,800.00,12.67,540.00,12.67,810.26,37.60,73.54,73.06,73.18,0.22,3.26
