# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[Main], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,458.00,13.50,652.00,13.50,47.19,52.03,97.80,0.13
6,390.00,13.49,558.00,13.49,47.30,52.14,97.33,0.14
9,426.00,13.49,482.00,13.49,47.30,52.03,97.01,0.10
12,340.00,13.48,550.00,13.48,47.30,52.03,96.73,0.11
15,314.00,13.48,550.00,13.47,47.30,52.14,96.44,0.40
18,370.00,13.47,476.00,13.47,47.30,52.14,96.16,0.41
21,350.00,13.47,484.00,13.47,47.30,52.03,95.85,0.62
24,340.00,13.47,484.00,13.46,47.30,52.03,95.47,0.73
27,324.00,13.47,484.00,13.46,47.30,52.03,95.05,0.71
30,258.00,13.46,564.00,13.46,47.30,52.14,94.60,0.71
33,240.00,13.46,554.00,13.46,47.19,52.03,94.13,0.70
36,304.00,13.46,484.00,13.46,47.30,52.03,93.75,0.64
39,292.00,13.45,492.00,13.45,47.30,52.03,93.45,0.61
42,292.00,13.45,484.00,13.45,47.19,52.03,93.20,0.59
45,216.00,13.45,554.00,13.44,47.19,52.03,93.07,0.53
48,216.00,13.45,554.00,13.44,47.19,52.14,93.05,0.53
51,206.00,13.44,548.00,13.44,47.19,52.03,93.10,0.43
54,210.00,13.44,554.00,13.44,47.19,52.03,93.21,0.43
57,196.00,13.44,554.00,13.44,47.30,52.14,93.40,0.34
60,272.00,13.44,478.00,13.44,47.19,52.03,93.68,0.40
63,262.00,13.44,488.00,13.44,47.19,52.14,94.03,0.43
66,204.00,13.43,548.00,13.43,47.19,52.03,94.38,0.53
69,256.00,13.44,484.00,13.43,47.30,52.14,94.72,0.61
72,200.00,13.43,550.00,13.43,47.30,52.14,95.04,0.70
75,258.00,13.43,492.00,13.43,47.19,52.14,95.30,0.81
78,262.00,13.43,482.00,13.42,47.19,52.03,95.47,0.81
81,266.00,13.43,492.00,13.43,47.19,52.03,95.55,0.84
84,258.00,13.43,488.00,13.42,47.19,52.03,95.58,0.70
87,268.00,13.43,484.00,13.42,47.19,52.03,95.56,0.71
90,194.00,13.42,544.00,13.42,47.08,52.14,95.46,0.71
93,272.00,13.43,492.00,13.42,47.19,52.03,95.32,0.64
96,268.00,13.42,494.00,13.42,47.08,52.03,95.08,0.60
99,266.00,13.43,484.00,13.42,47.19,52.03,94.76,0.64
102,272.00,13.42,482.00,13.42,47.19,52.03,94.37,0.60
105,262.00,13.42,488.00,13.42,47.19,52.14,93.91,0.63
108,206.00,13.42,554.00,13.41,47.19,52.03,93.36,0.51
111,196.00,13.42,540.00,13.41,47.19,52.03,92.75,0.50
114,268.00,13.42,488.00,13.42,47.19,52.14,92.07,0.51
117,268.00,13.42,498.00,13.42,47.19,52.03,91.33,0.54
