# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[Main], DS18 Temp(F)[Batt], Light (%), Wind Speed
120,196.00,13.41,550.00,13.41,47.19,52.03,90.57,0.51
123,266.00,13.42,484.00,13.42,47.19,51.91,89.86,0.51
126,196.00,13.41,550.00,13.41,47.19,52.03,89.24,0.54
129,190.00,13.41,558.00,13.40,47.19,52.03,88.71,0.51
132,258.00,13.41,484.00,13.41,47.19,52.03,88.26,0.51
135,250.00,13.41,484.00,13.41,47.19,52.03,87.91,0.41
138,252.00,13.41,482.00,13.41,47.30,52.03,87.67,0.41
141,252.00,13.41,484.00,13.41,47.30,52.03,87.45,0.41
144,246.00,13.41,494.00,13.41,47.19,52.14,87.27,0.44
147,246.00,13.41,482.00,13.40,47.30,52.03,87.11,0.44
150,240.00,13.41,478.00,13.40,47.30,52.14,86.96,0.44
153,170.00,13.41,554.00,13.40,47.30,52.03,86.86,0.43
156,174.00,13.40,560.00,13.40,47.30,52.03,86.71,0.51
159,220.00,13.40,488.00,13.40,47.30,52.03,86.58,0.51
162,220.00,13.40,482.00,13.40,47.30,52.03,86.47,0.62
165,222.00,13.40,492.00,13.40,47.30,52.14,86.34,0.61
168,144.00,13.40,558.00,13.40,47.30,52.14,86.23,0.63
171,158.00,13.39,558.00,13.39,47.41,51.91,86.11,0.51
174,220.00,13.40,482.00,13.39,47.41,51.91,85.99,0.51
177,210.00,13.40,478.00,13.39,47.41,52.03,85.89,0.54
180,148.00,13.39,548.00,13.39,47.41,52.14,85.81,0.51
183,210.00,13.39,492.00,13.39,47.41,52.03,85.75,0.61
186,138.00,13.39,558.00,13.39,47.41,52.03,85.73,0.63
189,204.00,13.39,484.00,13.39,47.41,52.03,85.65,0.72
192,216.00,13.39,484.00,13.39,47.41,52.03,85.68,0.73
195,210.00,13.39,484.00,13.39,47.41,52.14,85.73,0.71
198,132.00,13.39,550.00,13.38,47.41,52.03,85.81,0.71
201,204.00,13.39,484.00,13.39,47.41,52.03,85.91,0.64
204,148.00,13.39,554.00,13.38,47.30,52.14,86.01,0.60
207,212.00,13.39,482.00,13.38,47.41,52.14,86.03,0.51
210,212.00,13.39,484.00,13.38,47.30,52.03,86.17,0.51
213,220.00,13.39,484.00,13.38,47.41,52.03,86.36,0.41
216,220.00,13.39,482.00,13.38,47.41,52.14,86.52,0.41
219,158.00,13.39,544.00,13.38,47.30,52.14,86.72,0.33
222,230.00,13.39,488.00,13.38,47.41,52.14,86.96,0.30
225,176.00,13.39,558.00,13.38,47.30,52.14,87.26,0.33
228,236.00,13.39,488.00,13.38,47.41,52.14,87.64,0.30
231,180.00,13.39,550.00,13.38,47.41,52.03,88.08,0.23
234,250.00,13.39,482.00,13.38,47.53,52.03,88.59,0.20
237,272.00,13.39,482.00,13.38,47.53,52.03,89.21,0.20
240,272.00,13.39,476.00,13.38,47.53,52.14,89.91,0.41
243,282.00,13.39,476.00,13.39,47.53,52.14,90.68,0.53
246,236.00,13.39,540.00,13.38,47.53,52.14,91.53,0.61
249,246.00,13.39,548.00,13.38,47.41,52.14,92.38,0.73
