# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[Main], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,718.00,12.96,658.00,12.96,66.99,68.00,15.30,1.71
6,688.00,12.96,484.00,12.95,66.88,67.89,15.28,1.50
9,756.00,12.96,544.00,12.95,66.99,68.00,15.27,1.64
12,754.00,12.96,558.00,12.95,66.99,68.00,15.24,1.31
15,760.00,12.95,540.00,12.95,66.99,68.00,15.22,1.10
18,688.00,12.96,482.00,12.95,66.99,68.00,15.22,1.23
21,702.00,12.95,482.00,12.96,66.88,67.89,15.20,1.80
24,760.00,12.96,554.00,12.95,66.88,67.89,15.19,1.51
