# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[Main], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,210.00,13.39,666.00,13.38,47.75,52.03,99.93,0.55
6,236.00,13.39,548.00,13.38,47.64,52.14,100.00,0.53
9,232.00,13.39,550.00,13.38,47.75,52.14,100.00,0.43
12,242.00,13.39,550.00,13.38,47.75,52.14,100.00,0.50
15,308.00,13.39,488.00,13.38,47.75,52.14,100.00,0.63
18,298.00,13.39,482.00,13.38,47.75,52.14,100.00,0.63
21,298.00,13.39,484.00,13.38,47.75,52.14,100.00,0.71
24,242.00,13.39,554.00,13.38,47.75,52.14,100.00,0.71
27,242.00,13.39,554.00,13.38,47.64,52.03,100.00,0.70
30,256.00,13.39,550.00,13.38,47.75,52.14,100.00,0.73
33,242.00,13.39,548.00,13.38,47.75,52.14,100.00,1.00
36,246.00,13.39,558.00,13.38,47.75,52.14,100.00,1.11
39,256.00,13.39,558.00,13.38,47.75,52.14,100.00,1.22
42,322.00,13.39,488.00,13.38,47.75,52.14,100.00,1.16
45,318.00,13.39,488.00,13.38,47.75,52.14,100.00,1.31
48,262.00,13.39,550.00,13.38,47.75,52.14,100.00,1.61
51,324.00,13.39,484.00,13.38,47.75,52.14,100.00,1.31
54,322.00,13.39,492.00,13.38,47.75,52.14,100.00,1.54
57,338.00,13.39,488.00,13.38,47.64,52.14,100.00,1.60
60,278.00,13.39,554.00,13.38,47.75,52.14,100.00,1.61
63,344.00,13.39,492.00,13.39,47.64,52.14,100.00,1.64
66,344.00,13.39,498.00,13.39,47.75,52.14,100.00,1.71
69,278.00,13.39,558.00,13.38,47.64,52.14,100.00,1.51
72,338.00,13.39,484.00,13.39,47.64,52.25,99.91,1.26
75,278.00,13.39,550.00,13.38,47.64,52.14,99.72,1.41
78,358.00,13.39,492.00,13.39,47.64,52.25,99.50,1.81
81,358.00,13.39,484.00,13.38,47.53,52.25,99.27,1.81
84,364.00,13.39,492.00,13.39,47.53,52.14,99.03,2.01
87,364.00,13.39,492.00,13.39,47.64,52.14,98.81,1.81
90,360.00,13.39,484.00,13.39,47.53,52.25,98.64,1.81
93,368.00,13.39,488.00,13.39,47.53,52.14,98.54,1.66
96,368.00,13.39,482.00,13.39,47.53,52.25,98.52,1.51
99,294.00,13.39,548.00,13.38,47.53,52.14,98.59,1.51
102,368.00,13.39,476.00,13.39,47.53,52.25,98.72,1.71
105,302.00,13.39,548.00,13.39,47.53,52.14,98.91,1.61
108,376.00,13.39,482.00,13.39,47.53,52.25,99.11,1.21
111,318.00,13.39,548.00,13.39,47.41,52.25,99.30,1.21
114,380.00,13.39,492.00,13.39,47.53,52.14,99.49,1.28
117,328.00,13.39,550.00,13.39,47.41,52.25,99.66,1.31
120,396.00,13.39,498.00,13.39,47.53,52.14,99.79,1.34
123,338.00,13.39,554.00,13.39,47.53,52.14,99.92,1.40
126,404.00,13.40,494.00,13.39,47.41,52.25,100.00,1.64
129,396.00,13.40,482.00,13.39,47.53,52.14,100.00,2.00
132,404.00,13.39,484.00,13.39,47.41,52.14,100.00,1.82
135,406.00,13.40,482.00,13.40,47.41,52.14,100.00,1.81
138,404.00,13.40,482.00,13.40,47.41,52.25,100.00,1.81
141,344.00,13.39,550.00,13.39,47.41,52.14,100.00,1.59
144,412.00,13.40,488.00,13.40,47.41,52.14,100.00,1.71
147,412.00,13.40,498.00,13.40,47.53,52.14,100.00,1.82
150,412.00,13.40,492.00,13.40,47.53,52.14,100.00,1.92
153,420.00,13.40,484.00,13.39,47.41,52.14,100.00,1.78
156,354.00,13.40,544.00,13.40,47.41,52.14,100.00,1.94
159,368.00,13.40,548.00,13.40,47.53,52.14,100.00,1.74
162,426.00,13.40,482.00,13.40,47.41,52.14,100.00,1.71
165,432.00,13.40,494.00,13.40,47.53,52.14,100.00,1.92
168,436.00,13.40,492.00,13.40,47.41,52.14,100.00,2.02
171,442.00,13.40,484.00,13.40,47.41,52.14,100.00,1.81
174,370.00,13.40,548.00,13.40,47.41,52.14,100.00,1.64
177,448.00,13.40,484.00,13.40,47.30,52.14,100.00,1.60
180,452.00,13.41,488.00,13.40,47.41,52.14,100.00,1.51
183,458.00,13.40,492.00,13.40,47.30,52.14,100.00,1.51
186,396.00,13.41,548.00,13.40,47.30,52.03,100.00,1.41
189,472.00,13.41,484.00,13.40,47.41,52.14,100.00,1.41
192,466.00,13.41,482.00,13.40,47.30,52.14,100.00,1.61
195,476.00,13.41,484.00,13.40,47.30,52.14,100.00,1.40
198,468.00,13.41,492.00,13.40,47.30,52.14,100.00,1.61
201,412.00,13.41,550.00,13.40,47.41,52.14,100.00,1.41
204,476.00,13.41,482.00,13.41,47.41,52.14,100.00,1.27
207,484.00,13.41,484.00,13.41,47.30,52.14,100.00,1.14
210,416.00,13.41,554.00,13.40,47.30,52.14,100.00,1.31
213,426.00,13.41,560.00,13.41,47.41,52.14,100.00,1.63
216,492.00,13.41,478.00,13.41,47.30,52.14,100.00,1.49
219,436.00,13.41,544.00,13.41,47.41,52.03,100.00,1.53
222,440.00,13.42,558.00,13.41,47.41,52.14,100.00,1.41
225,440.00,13.42,554.00,13.41,47.41,52.14,100.00,1.40
