# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[Main], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,724.00,12.96,672.00,12.95,66.76,67.89,15.05,1.90
6,750.00,12.95,548.00,12.95,66.88,67.89,15.03,1.98
9,760.00,12.95,554.00,12.95,66.76,67.89,15.01,1.93
12,688.00,12.96,482.00,12.95,66.76,67.89,14.99,1.89
15,694.00,12.96,478.00,12.95,66.76,67.89,14.97,1.73
18,754.00,12.95,554.00,12.95,66.76,67.89,14.94,1.70
21,764.00,12.95,548.00,12.95,66.76,67.89,14.92,2.26
24,694.00,12.95,488.00,12.95,66.76,67.89,14.91,2.43
27,756.00,12.95,558.00,12.95,66.65,67.89,14.88,2.33
30,760.00,12.95,544.00,12.95,66.65,67.89,14.86,2.14
33,692.00,12.96,478.00,12.95,66.76,67.89,14.84,1.76
36,754.00,12.95,558.00,12.94,66.65,67.89,14.83,2.29
39,698.00,12.96,478.00,12.95,66.65,67.89,14.80,2.73
42,694.00,12.95,488.00,12.95,66.65,67.89,14.79,2.23
45,694.00,12.96,494.00,12.95,66.65,67.89,14.76,2.11
48,760.00,12.95,540.00,12.95,66.65,67.89,14.75,1.95
51,698.00,12.95,488.00,12.95,66.65,67.77,14.73,2.33
54,702.00,12.95,482.00,12.95,66.65,67.77,14.71,2.64
57,764.00,12.95,548.00,12.95,66.65,67.89,14.69,2.54
60,702.00,12.95,488.00,12.95,66.65,67.77,14.67,2.63
63,692.00,12.96,484.00,12.95,66.54,67.89,14.65,2.41
66,764.00,12.95,544.00,12.94,66.65,67.89,14.63,2.50
69,698.00,12.95,494.00,12.95,66.54,67.89,14.61,2.32
72,760.00,12.95,554.00,12.95,66.65,67.77,14.59,2.76
75,702.00,12.95,482.00,12.95,66.65,67.77,14.57,2.82
78,708.00,12.95,492.00,12.95,66.65,67.89,14.55,2.32
81,760.00,12.95,548.00,12.95,66.54,67.89,14.53,2.43
84,698.00,12.95,478.00,12.94,66.65,67.77,14.51,4.10
87,764.00,12.95,554.00,12.95,66.54,67.77,14.48,4.26
90,694.00,12.95,482.00,12.94,66.65,67.77,14.46,5.18
93,704.00,12.95,476.00,12.95,66.65,67.77,14.45,4.50
96,692.00,12.95,492.00,12.95,66.76,67.77,14.43,4.26
99,704.00,12.95,482.00,12.95,66.76,67.77,14.40,3.45
102,692.00,12.95,482.00,12.94,66.76,67.77,14.38,3.05
105,774.00,12.95,550.00,12.95,66.76,67.77,14.36,3.24
108,698.00,12.95,484.00,12.94,66.76,67.77,14.34,2.44
111,698.00,12.95,482.00,12.95,66.76,67.77,14.32,1.88
114,704.00,12.95,484.00,12.95,66.65,67.77,14.30,1.51
117,698.00,12.95,482.00,12.95,66.76,67.77,14.27,1.40
120,714.00,12.95,488.00,12.95,66.88,67.77,14.25,1.49
123,694.00,12.95,488.00,12.94,66.76,67.77,14.23,2.92
126,714.00,12.95,488.00,12.94,66.76,67.77,14.21,1.92
129,698.00,12.95,476.00,12.94,66.76,67.77,14.18,3.45
132,714.00,12.95,492.00,12.95,66.76,67.77,14.16,4.34
135,714.00,12.95,488.00,12.94,66.76,67.77,14.14,4.92
138,704.00,12.95,478.00,12.95,66.88,67.77,14.12,4.09
141,708.00,12.95,478.00,12.95,66.76,67.77,14.09,4.32
144,760.00,12.95,560.00,12.95,66.88,67.77,14.07,4.29
147,712.00,12.95,478.00,12.95,66.99,67.66,14.05,5.36
150,702.00,12.95,482.00,12.94,66.88,67.66,14.03,5.93
153,774.00,12.95,558.00,12.94,66.99,67.77,14.00,4.90
156,698.00,12.95,482.00,12.94,66.99,67.77,13.98,5.74
159,766.00,12.95,544.00,12.94,66.99,67.77,13.96,5.44
162,776.00,12.95,558.00,12.94,67.10,67.66,13.94,5.33
165,764.00,12.95,554.00,12.94,67.10,67.77,13.92,4.48
168,708.00,12.95,478.00,12.95,67.10,67.77,13.88,3.22
171,702.00,12.95,488.00,12.94,67.10,67.77,13.60,2.84
174,712.00,12.95,492.00,12.94,67.10,67.77,13.85,2.34
