# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MAIN], DS18 Temp(F)[Batt], DS18 Temp(F)[MCU], Light (%), Wind Speed
3,6564.00,13.82,26.00,13.75,52.14,56.07,61.14,100.00,8.46
6,522.00,13.75,524.00,13.74,52.25,56.07,61.14,100.00,9.70
9,522.00,13.74,452.00,13.73,52.14,56.07,61.03,100.00,7.30
12,518.00,13.71,456.00,13.70,52.14,56.07,61.14,100.00,5.60
15,6266.00,13.76,540.00,13.77,52.14,56.07,61.14,100.00,7.63
18,512.00,13.69,456.00,13.68,52.25,56.07,61.14,100.00,9.50
21,524.00,13.68,448.00,13.68,52.14,56.07,61.14,100.00,7.27
24,584.00,13.67,524.00,13.66,52.25,56.07,61.14,100.00,4.56
27,584.00,13.75,534.00,13.76,52.25,56.07,61.14,100.00,4.10
30,6950.00,13.75,440.00,13.73,52.25,56.07,61.14,100.00,2.77
33,586.00,13.73,508.00,13.73,52.36,55.96,61.14,100.00,2.75
36,512.00,13.70,452.00,13.70,52.36,55.96,61.14,100.00,3.86
39,524.00,13.67,458.00,13.69,52.36,56.07,61.14,100.00,2.68
42,5554.00,13.76,524.00,13.76,52.47,56.07,61.03,100.00,4.53
45,590.00,13.73,504.00,13.72,52.59,56.07,61.03,100.00,7.75
48,584.00,13.78,518.00,13.78,52.47,56.07,61.03,100.00,7.88
51,524.00,13.76,468.00,13.75,52.59,56.07,61.03,100.00,9.11
54,7254.00,13.83,538.00,13.83,52.47,56.07,61.14,100.00,15.10
57,528.00,13.76,446.00,13.76,52.47,55.96,61.03,100.00,9.28
60,514.00,13.76,456.00,13.76,52.47,56.07,61.03,100.00,8.68
63,530.00,13.75,462.00,13.74,52.59,56.07,61.14,100.00,14.52
66,524.00,13.83,476.00,13.83,52.47,56.07,61.03,100.00,12.20
69,5578.00,13.76,518.00,13.75,52.36,56.07,61.03,100.00,12.55
72,580.00,13.74,514.00,13.74,52.36,55.96,61.03,100.00,6.97
75,524.00,13.72,466.00,13.72,52.47,55.96,61.03,100.00,13.77
78,534.00,13.70,466.00,13.78,52.36,56.07,61.03,100.00,12.53
81,6884.00,13.74,440.00,13.69,52.36,55.96,61.03,100.00,12.44
84,586.00,13.69,514.00,13.68,52.25,56.07,61.03,100.00,9.34
87,522.00,13.69,458.00,13.68,52.36,55.96,61.14,100.00,9.60
90,594.00,13.69,524.00,13.68,52.25,56.07,61.03,100.00,8.67
93,7726.00,13.82,462.00,13.82,52.25,56.07,61.14,100.00,11.26
96,590.00,13.76,514.00,13.76,52.25,56.07,61.03,100.00,8.90
99,584.00,13.75,524.00,13.74,52.25,56.07,61.03,100.00,9.12
102,530.00,13.74,466.00,13.73,52.14,56.07,61.03,100.00,8.98
105,7626.00,13.82,458.00,13.83,52.25,55.96,61.03,100.00,9.74
108,576.00,13.76,514.00,13.75,52.25,55.96,61.14,100.00,6.78
111,518.00,13.76,456.00,13.76,52.25,55.96,61.03,100.00,5.29
114,594.00,13.76,512.00,13.75,52.36,55.96,61.14,100.00,4.18
117,514.00,13.80,960.00,13.84,52.36,55.96,61.03,100.00,4.48
120,7818.00,13.81,494.00,13.75,52.36,55.96,61.03,100.00,5.36
123,508.00,13.76,456.00,13.75,52.36,55.96,61.03,100.00,4.97
126,522.00,13.75,452.00,13.75,52.36,55.96,61.03,100.00,4.36
129,522.00,13.75,442.00,13.78,52.47,55.96,61.03,100.00,3.46
132,7900.00,13.85,456.00,13.76,52.47,55.96,61.03,100.00,6.91
135,574.00,13.76,522.00,13.75,52.59,55.96,61.03,100.00,4.99
138,596.00,13.75,522.00,13.74,52.59,55.96,61.03,100.00,6.19
141,514.00,13.72,446.00,13.71,52.70,55.85,61.03,100.00,5.19
144,7228.00,13.78,462.00,13.78,52.81,55.96,60.91,100.00,6.46
147,566.00,13.70,524.00,13.69,52.81,55.96,61.03,100.00,6.15
150,530.00,13.70,458.00,13.70,52.81,55.96,61.03,100.00,9.28
153,580.00,13.71,514.00,13.71,52.81,55.96,61.03,100.00,11.02
156,596.00,13.72,544.00,13.78,52.70,55.96,61.03,100.00,12.01
159,6358.00,13.74,348.00,13.68,52.70,55.96,61.03,100.00,9.94
162,586.00,13.68,524.00,13.67,52.59,55.96,61.03,100.00,8.95
165,574.00,13.68,518.00,13.68,52.59,55.96,61.03,100.00,10.51
168,590.00,13.69,514.00,13.75,52.47,55.96,61.03,100.00,7.48
171,5902.00,13.77,488.00,13.77,52.47,55.85,61.03,100.00,5.76
174,524.00,13.70,456.00,13.70,52.59,55.96,61.03,100.00,5.27
177,514.00,13.69,452.00,13.68,52.59,55.96,61.03,100.00,7.40
180,522.00,13.68,448.00,13.68,52.59,55.96,61.03,100.00,5.86
183,5976.00,13.76,530.00,13.77,52.70,55.96,61.03,100.00,4.54
186,6138.00,13.74,448.00,13.74,52.70,55.85,61.03,100.00,3.09
189,522.00,13.78,452.00,13.77,52.70,55.85,61.03,100.00,3.35
192,586.00,13.75,508.00,13.74,52.70,55.96,60.91,100.00,8.75
195,590.00,13.73,620.00,13.82,52.70,55.85,61.03,100.00,11.57
198,6708.00,13.80,104.00,13.72,52.70,55.96,61.03,100.00,9.50
201,586.00,13.70,514.00,13.70,52.81,55.85,61.03,100.00,6.99
