# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MAIN], DS18 Temp(F)[Batt], DS18 Temp(F)[MCU], Light (%), Wind Speed
3,468.00,13.44,478.00,13.44,-196.60,45.28,43.47,100.00,1.30
6,518.00,13.44,544.00,13.44,-196.60,45.16,43.47,100.00,1.45
9,522.00,13.44,548.00,13.44,-196.60,45.16,43.47,100.00,1.55
12,524.00,13.44,550.00,13.44,-196.60,45.16,43.47,100.00,1.45
15,584.00,13.44,488.00,13.44,-196.60,45.16,43.59,100.00,1.45
18,580.00,13.44,492.00,13.43,-196.60,45.16,43.47,100.00,1.43
21,570.00,13.44,488.00,13.43,-196.60,45.16,43.59,100.00,1.11
24,576.00,13.44,494.00,13.43,-196.60,45.16,43.47,100.00,1.11
27,512.00,13.43,554.00,13.43,-196.60,45.16,43.59,100.00,1.75
30,580.00,13.43,492.00,13.43,-196.60,45.28,43.59,100.00,1.96
33,512.00,13.43,558.00,13.43,-196.60,45.16,43.59,100.00,2.21
36,566.00,13.43,488.00,13.42,-196.60,45.16,43.59,100.00,2.31
39,494.00,13.43,554.00,13.42,-196.60,45.16,43.59,100.00,2.37
42,504.00,13.43,554.00,13.42,-196.60,45.16,43.59,100.00,2.22
45,564.00,13.43,492.00,13.42,-196.60,45.16,43.59,100.00,2.37
48,498.00,13.43,550.00,13.42,-196.60,45.28,43.70,100.00,2.42
51,550.00,13.43,484.00,13.42,-196.60,45.16,43.70,100.00,2.82
54,550.00,13.43,550.00,13.42,-196.60,45.16,43.70,100.00,1.87
57,492.00,13.43,550.00,13.42,-196.60,45.16,43.70,100.00,1.61
60,484.00,13.42,554.00,13.42,-196.60,45.16,43.70,100.00,1.45
63,548.00,13.42,488.00,13.42,-196.60,45.16,43.70,100.00,1.31
66,472.00,13.42,550.00,13.42,-196.60,45.16,43.59,100.00,1.76
69,478.00,13.42,548.00,13.42,-196.60,45.16,43.59,100.00,1.97
72,540.00,13.42,488.00,13.42,-196.60,45.16,43.59,100.00,2.06
75,538.00,13.42,488.00,13.42,-196.60,45.16,43.70,100.00,1.66
78,468.00,13.42,554.00,13.41,-196.60,45.16,43.70,100.00,1.36
81,466.00,13.42,554.00,13.42,-196.60,45.16,43.59,100.00,1.55
84,534.00,13.42,484.00,13.41,-196.60,45.16,43.59,100.00,1.84
87,472.00,13.42,550.00,13.41,-196.60,45.16,43.47,100.00,3.04
90,468.00,13.42,544.00,13.41,-196.60,45.16,43.59,100.00,4.24
93,456.00,13.42,550.00,13.41,-196.60,45.16,43.59,100.00,4.35
96,448.00,13.42,548.00,13.41,-196.60,45.16,43.59,100.00,4.82
99,522.00,13.42,484.00,13.41,-196.60,45.16,43.59,100.00,4.05
102,524.00,13.42,482.00,13.41,-196.60,45.16,43.47,100.00,3.71
105,456.00,13.41,544.00,13.41,-196.60,45.05,43.59,100.00,4.22
108,512.00,13.41,484.00,13.40,-196.60,45.16,43.47,100.00,3.60
111,502.00,13.42,482.00,13.41,-196.60,45.16,43.47,100.00,4.38
114,448.00,13.41,548.00,13.41,-196.60,45.16,43.47,100.00,3.36
117,452.00,13.41,544.00,13.40,-196.60,45.16,43.47,100.00,2.89
120,436.00,13.41,544.00,13.40,-196.60,45.16,43.47,100.00,3.03
123,494.00,13.41,484.00,13.40,-196.60,45.16,43.59,100.00,4.11
126,502.00,13.41,484.00,13.41,-196.60,45.16,43.59,100.00,3.23
129,504.00,13.41,478.00,13.40,-196.60,45.16,43.59,100.00,2.67
132,440.00,13.41,544.00,13.40,-196.60,45.05,43.47,100.00,2.32
135,492.00,13.41,482.00,13.40,-196.60,45.16,43.47,100.00,2.07
138,426.00,13.41,544.00,13.40,-196.60,45.16,43.47,100.00,1.68
141,498.00,13.40,482.00,13.40,-196.60,45.16,43.59,100.00,1.78
144,498.00,13.40,482.00,13.40,-196.60,45.05,43.59,100.00,2.06
147,488.00,13.40,482.00,13.40,-196.60,45.16,43.59,100.00,2.35
150,484.00,13.40,482.00,13.40,-196.60,45.16,43.59,100.00,2.07
153,426.00,13.40,544.00,13.40,-196.60,45.16,43.59,100.00,1.61
156,492.00,13.40,482.00,13.40,-196.60,45.16,43.59,100.00,1.61
159,420.00,13.40,544.00,13.39,-196.60,45.16,43.59,100.00,1.75
162,412.00,13.40,538.00,13.39,-196.60,45.16,43.59,100.00,2.08
165,412.00,13.40,548.00,13.40,-196.60,45.16,43.70,100.00,2.28
168,488.00,13.40,482.00,13.39,-196.60,45.16,43.59,100.00,1.68
171,476.00,13.40,482.00,13.39,-196.60,45.16,43.70,100.00,1.41
174,412.00,13.40,548.00,13.40,-196.60,45.16,43.70,100.00,1.45
177,412.00,13.40,544.00,13.39,-196.60,45.16,43.70,100.00,2.53
180,476.00,13.40,482.00,13.39,-196.60,45.05,43.59,100.00,3.21
183,476.00,13.40,484.00,13.39,-196.60,45.05,43.59,100.00,2.63
186,406.00,13.39,548.00,13.39,-196.60,45.05,43.47,100.00,2.78
189,410.00,13.40,478.00,13.39,-196.60,45.16,43.47,100.00,2.67
192,476.00,13.40,482.00,13.39,-196.60,45.16,43.47,100.00,2.38
195,410.00,13.39,548.00,13.39,-196.60,45.05,43.36,100.00,2.57
198,636.00,13.39,540.00,13.38,-196.60,45.16,43.47,100.00,2.17
201,468.00,13.39,484.00,13.39,-196.60,45.05,43.36,100.00,1.81
204,410.00,13.39,544.00,13.39,-196.60,45.05,43.36,100.00,2.29
207,406.00,13.39,550.00,13.38,-196.60,45.16,43.36,100.00,1.92
210,400.00,13.39,554.00,13.38,-196.60,45.16,43.36,100.00,2.28
213,462.00,13.39,488.00,13.39,-196.60,45.16,43.36,100.00,2.35
216,404.00,13.39,558.00,13.38,-196.60,45.16,43.36,100.00,2.58
219,466.00,13.39,488.00,13.38,-196.60,45.05,43.47,100.00,2.27
222,394.00,13.39,548.00,13.38,-196.60,45.16,43.47,100.00,2.56
225,386.00,13.39,554.00,13.38,-196.60,45.05,43.47,100.00,2.49
228,466.00,13.39,488.00,13.39,-196.60,45.05,43.47,100.00,2.60
231,404.00,13.39,554.00,13.38,-196.60,45.16,43.59,100.00,2.51
234,458.00,13.39,482.00,13.38,-196.60,45.05,43.47,100.00,1.77
237,456.00,13.39,488.00,13.38,-196.60,45.16,43.47,100.00,1.55
240,462.00,13.39,492.00,13.38,-196.60,45.16,43.59,100.00,1.42
243,396.00,13.38,554.00,13.38,-196.60,45.16,43.59,100.00,1.35
246,386.00,13.38,554.00,13.38,-196.60,45.05,43.59,100.00,1.33
249,390.00,13.38,550.00,13.38,-196.60,45.05,43.59,100.00,1.74
252,458.00,13.39,484.00,13.38,-196.60,45.16,43.59,100.00,2.42
255,456.00,13.39,488.00,13.38,-196.60,45.05,43.70,100.00,2.65
258,446.00,13.38,488.00,13.38,-196.60,45.05,43.59,100.00,2.35
261,376.00,13.39,550.00,13.38,-196.60,45.05,43.70,100.00,3.78
264,448.00,13.38,484.00,13.38,-196.60,45.05,43.59,100.00,5.09
267,400.00,13.38,550.00,13.38,-196.60,45.05,43.70,100.00,5.70
270,452.00,13.38,482.00,13.38,-196.60,45.05,43.70,100.00,4.72
273,458.00,13.38,488.00,13.38,-196.60,45.05,43.70,100.00,3.35
276,462.00,13.38,482.00,13.38,-196.60,45.05,43.70,100.00,5.12
279,386.00,13.38,548.00,13.38,-196.60,45.05,43.70,100.00,4.57
282,384.00,13.38,548.00,13.38,-196.60,45.05,43.59,100.00,5.73
285,458.00,13.38,484.00,13.38,-196.60,45.05,43.70,100.00,4.45
288,394.00,13.38,548.00,13.38,-196.60,45.05,43.70,100.00,3.71
291,452.00,13.38,482.00,13.37,-196.60,45.05,43.70,100.00,2.88
294,448.00,13.38,484.00,13.38,-196.60,45.05,43.59,100.00,2.79
297,458.00,13.38,488.00,13.38,-196.60,45.05,43.59,100.00,3.39
300,462.00,13.38,484.00,13.38,-196.60,45.16,43.59,100.00,3.51
303,458.00,13.38,484.00,13.38,-196.60,45.16,43.59,100.00,3.81
306,446.00,13.38,492.00,13.38,-196.60,45.16,43.47,100.00,3.04
309,456.00,13.38,488.00,13.38,-196.60,45.16,43.59,100.00,3.21
312,400.00,13.38,554.00,13.38,-196.60,45.16,43.59,100.00,2.89
315,400.00,13.38,554.00,13.38,-196.60,45.16,43.59,100.00,2.96
318,452.00,13.38,488.00,13.38,-196.60,45.16,43.59,100.00,2.66
321,452.00,13.38,488.00,13.38,-196.60,45.05,43.59,100.00,2.46
324,458.00,13.38,494.00,13.38,-196.60,45.05,43.47,100.00,2.06
327,458.00,13.38,492.00,13.38,-196.60,45.16,43.59,100.00,1.95
330,390.00,13.38,560.00,13.37,-196.60,45.05,43.59,100.00,2.26
333,458.00,13.38,494.00,13.38,-196.60,45.05,43.59,100.00,2.71
