# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MAIN], DS18 Temp(F)[Batt], DS18 Temp(F)[MCU], Light (%), Wind Speed
3,698.00,13.56,648.00,13.56,48.42,53.04,52.36,100.00,1.84
6,730.00,13.56,642.00,13.55,48.54,52.92,52.36,100.00,1.84
9,730.00,13.56,648.00,13.56,48.42,53.04,52.36,100.00,1.85
12,730.00,13.56,648.00,13.55,48.42,52.92,52.36,100.00,2.24
15,744.00,13.56,648.00,13.56,48.42,52.92,52.36,100.00,2.25
18,766.00,13.57,648.00,13.56,48.42,53.04,52.25,100.00,2.15
21,704.00,13.57,728.00,13.56,48.42,53.04,52.25,100.00,2.16
24,802.00,13.57,646.00,13.57,48.42,52.92,52.25,100.00,2.26
27,730.00,13.57,728.00,13.57,48.42,53.04,52.25,100.00,2.05
30,774.00,13.58,724.00,13.58,48.42,52.92,52.14,100.00,1.97
33,858.00,13.60,728.00,13.59,48.42,52.92,52.14,100.00,1.97
36,1084.00,13.64,648.00,13.63,48.42,53.04,52.14,100.00,2.05
39,1180.00,13.69,740.00,13.69,48.54,53.04,52.03,100.00,2.17
42,1410.00,13.79,658.00,13.79,48.42,53.04,52.14,100.00,2.05
45,324.00,13.91,748.00,13.91,48.54,53.04,52.03,100.00,1.87
48,1858.00,13.81,744.00,13.80,48.42,52.92,52.03,100.00,1.97
51,2114.00,13.77,606.00,13.75,48.42,53.04,52.03,100.00,1.64
54,800.00,13.79,730.00,13.82,48.42,53.04,51.91,100.00,1.54
57,2356.00,13.81,738.00,13.81,48.42,53.15,51.91,100.00,1.44
60,2366.00,13.81,472.00,13.77,48.42,53.04,51.91,100.00,1.54
63,800.00,13.77,728.00,13.75,48.42,53.04,51.80,100.00,1.54
66,2182.00,13.77,656.00,13.76,48.42,53.04,51.91,100.00,1.37
69,1972.00,13.73,734.00,13.71,48.42,53.04,51.80,100.00,1.34
72,704.00,13.66,652.00,13.66,48.42,53.04,51.80,100.00,1.26
75,1864.00,13.70,658.00,13.70,48.42,53.04,51.91,100.00,1.27
78,1730.00,13.70,738.00,13.70,48.42,52.92,51.91,100.00,1.46
81,774.00,13.67,734.00,13.66,48.42,53.04,51.91,100.00,1.56
84,1612.00,13.69,652.00,13.69,48.42,53.15,51.91,100.00,1.64
87,1458.00,13.67,648.00,13.67,48.42,53.04,52.03,100.00,1.44
90,1150.00,13.67,728.00,13.67,48.54,53.04,51.91,100.00,1.14
93,734.00,13.65,734.00,13.64,48.54,53.04,52.03,100.00,1.24
96,724.00,13.61,646.00,13.61,48.54,53.04,52.03,100.00,1.30
99,672.00,13.60,646.00,13.59,48.65,53.04,52.03,100.00,1.34
102,554.00,13.58,724.00,13.58,48.65,53.04,52.03,100.00,1.24
105,530.00,13.57,724.00,13.57,48.65,53.04,52.03,100.00,1.29
108,600.00,13.57,652.00,13.56,48.76,53.04,52.14,100.00,1.56
111,590.00,13.56,646.00,13.56,48.76,53.04,52.14,100.00,1.72
114,488.00,13.56,728.00,13.55,48.76,53.04,52.03,100.00,2.18
117,478.00,13.55,730.00,13.55,48.76,53.04,52.03,100.00,2.05
120,472.00,13.55,728.00,13.55,48.76,53.04,52.14,100.00,1.85
123,548.00,13.55,642.00,13.54,48.65,53.15,52.03,100.00,1.73
126,452.00,13.54,724.00,13.54,48.65,53.15,52.03,100.00,2.41
129,446.00,13.54,724.00,13.53,48.76,53.04,51.91,100.00,2.48
132,522.00,13.54,646.00,13.53,48.76,52.92,51.91,100.00,2.35
135,514.00,13.54,646.00,13.53,48.65,53.04,51.91,100.00,2.65
138,574.00,13.54,540.00,13.53,48.65,53.04,51.91,100.00,2.46
141,642.00,13.55,514.00,13.54,48.65,53.15,51.80,100.00,1.93
144,580.00,13.55,560.00,13.54,48.54,53.04,51.91,100.00,1.65
147,548.00,13.54,488.00,13.53,48.54,53.04,51.80,100.00,1.64
150,600.00,13.56,548.00,13.55,48.54,53.04,51.91,100.00,1.61
153,656.00,13.56,484.00,13.55,48.65,53.15,51.91,100.00,1.83
156,646.00,13.56,478.00,13.55,48.65,53.04,51.91,100.00,1.85
159,566.00,13.56,540.00,13.55,48.65,53.04,51.91,100.00,1.79
162,566.00,13.55,548.00,13.56,48.65,53.04,52.03,100.00,1.87
165,574.00,13.55,538.00,13.55,48.65,53.04,52.03,100.00,2.36
168,632.00,13.55,478.00,13.55,48.65,53.04,51.91,100.00,2.42
171,620.00,13.55,476.00,13.55,48.65,53.04,51.69,100.00,2.02
174,550.00,13.55,540.00,13.55,48.54,53.04,52.25,100.00,2.16
177,550.00,13.55,544.00,13.54,48.54,53.04,52.81,100.00,2.29
180,554.00,13.55,544.00,13.54,48.65,53.04,53.04,100.00,2.22
183,554.00,13.55,548.00,13.54,48.65,53.04,53.15,100.00,2.26
186,538.00,13.54,548.00,13.54,48.54,53.04,53.26,100.00,2.11
189,602.00,13.54,484.00,13.54,48.54,53.04,53.26,100.00,2.02
192,540.00,13.54,548.00,13.54,48.54,53.04,53.26,100.00,1.96
195,612.00,13.54,484.00,13.54,48.54,53.04,53.15,100.00,1.72
198,596.00,13.54,482.00,13.54,48.54,53.04,53.15,100.00,1.72
201,528.00,13.54,550.00,13.54,48.54,53.04,53.15,100.00,1.52
204,594.00,13.54,482.00,13.54,48.54,53.04,53.15,100.00,1.65
207,594.00,13.54,482.00,13.54,48.65,53.04,53.26,100.00,1.52
210,594.00,13.54,478.00,13.54,48.65,53.04,53.26,100.00,1.45
213,594.00,13.54,476.00,13.54,48.65,53.04,53.15,100.00,1.55
216,584.00,13.54,476.00,13.54,48.65,53.15,53.26,100.00,1.45
219,514.00,13.54,540.00,13.53,48.65,53.04,53.26,100.00,1.22
222,518.00,13.54,544.00,13.53,48.65,53.04,53.26,100.00,1.24
225,590.00,13.54,472.00,13.54,48.76,53.04,53.38,100.00,1.34
228,522.00,13.54,544.00,13.53,48.88,53.04,53.38,100.00,1.32
231,576.00,13.54,478.00,13.53,48.76,53.04,53.38,100.00,1.35
234,514.00,13.54,544.00,13.53,48.88,53.04,53.38,100.00,1.32
237,514.00,13.54,544.00,13.53,48.88,53.15,53.38,100.00,1.41
240,584.00,13.53,494.00,13.53,48.88,53.04,53.38,100.00,1.43
243,508.00,13.54,548.00,13.53,48.99,53.04,53.49,100.00,1.45
246,498.00,13.53,544.00,13.53,48.99,53.04,53.49,100.00,1.42
249,574.00,13.53,482.00,13.53,48.88,53.04,53.60,100.00,1.25
252,574.00,13.53,484.00,13.52,48.99,53.04,53.49,100.00,1.14
255,502.00,13.53,538.00,13.53,48.99,53.04,53.60,100.00,1.01
258,564.00,13.53,472.00,13.52,48.99,53.15,53.60,100.00,0.95
261,564.00,13.53,478.00,13.53,49.10,53.15,53.60,100.00,0.85
264,566.00,13.53,478.00,13.52,48.99,53.15,53.49,100.00,0.85
267,560.00,13.53,476.00,13.52,49.10,53.04,53.60,100.00,0.85
270,564.00,13.53,472.00,13.53,49.10,53.04,53.60,100.00,0.75
273,558.00,13.53,478.00,13.53,49.21,53.04,53.60,100.00,0.85
276,560.00,13.53,478.00,13.52,49.21,53.04,53.60,100.00,0.85
279,508.00,13.53,548.00,13.52,49.21,53.04,53.71,100.00,0.82
282,498.00,13.52,550.00,13.52,49.21,53.04,53.71,100.00,0.92
285,494.00,13.52,544.00,13.52,49.10,53.04,53.71,100.00,1.11
288,498.00,13.52,550.00,13.52,49.21,53.04,53.82,100.00,1.11
