# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MAIN], DS18 Temp(F)[Batt], DS18 Temp(F)[MCU], Light (%), Wind Speed
3,68.00,13.26,548.00,13.26,48.88,53.04,53.15,86.78,0.51
6,26.00,13.27,448.00,13.26,48.88,53.04,53.15,86.93,0.47
9,36.00,13.27,442.00,13.26,48.88,52.92,53.15,87.09,0.43
12,42.00,13.27,442.00,13.26,48.88,53.04,53.15,87.23,0.45
15,36.00,13.26,442.00,13.26,48.88,52.92,53.15,87.37,0.45
18,42.00,13.26,442.00,13.26,48.76,53.04,53.15,87.53,0.45
21,26.00,13.26,508.00,13.26,48.88,52.92,53.15,87.69,0.55
24,42.00,13.26,446.00,13.26,48.88,52.92,53.15,87.83,0.84
27,20.00,13.26,512.00,13.26,48.88,52.92,53.15,87.93,0.82
30,22.00,13.27,518.00,13.26,48.76,52.92,53.26,88.06,0.82
33,20.00,13.26,514.00,13.26,48.88,52.92,53.26,88.24,0.75
36,26.00,13.26,512.00,13.26,48.88,52.92,53.15,88.36,0.92
39,36.00,13.27,448.00,13.26,48.88,53.04,53.15,88.49,1.36
42,30.00,13.27,514.00,13.26,48.88,52.92,53.26,88.62,1.22
45,32.00,13.27,512.00,13.26,48.76,53.04,53.26,88.73,1.22
48,36.00,13.27,446.00,13.26,48.76,53.04,53.26,88.83,1.41
51,50.00,13.27,446.00,13.26,48.76,52.92,53.26,88.90,1.91
54,50.00,13.27,452.00,13.26,48.76,52.92,53.26,88.96,1.93
57,14.00,13.27,504.00,13.26,48.88,52.92,53.26,88.98,1.96
60,14.00,13.27,508.00,13.26,48.76,52.92,53.26,89.00,1.82
63,40.00,13.27,440.00,13.26,48.76,52.92,53.38,88.98,1.64
66,20.00,13.26,504.00,13.26,48.76,52.92,53.26,88.93,1.76
69,20.00,13.26,502.00,13.26,48.76,52.92,53.26,88.86,1.86
72,40.00,13.27,446.00,13.26,48.76,52.92,53.38,88.80,1.73
75,20.00,13.27,504.00,13.26,48.76,52.92,53.38,88.69,1.52
78,46.00,13.27,446.00,13.26,48.76,52.92,53.38,88.61,1.42
81,50.00,13.27,442.00,13.26,48.76,52.92,53.38,88.50,1.42
84,50.00,13.27,442.00,13.27,48.65,52.92,53.38,88.40,1.36
87,6.00,13.27,508.00,13.26,48.76,52.92,53.38,88.31,1.45
90,50.00,13.27,446.00,13.26,48.65,52.92,53.49,88.22,1.32
93,16.00,13.26,508.00,13.26,48.76,52.81,53.38,88.15,1.32
96,42.00,13.26,446.00,13.26,48.76,52.81,53.49,88.10,1.42
99,42.00,13.27,448.00,13.26,48.76,52.81,53.49,88.06,1.25
102,16.00,13.27,508.00,13.26,48.76,52.92,53.38,88.04,1.02
105,50.00,13.27,442.00,13.26,48.65,52.92,53.38,88.05,0.95
108,16.00,13.27,508.00,13.26,48.65,52.81,53.49,88.07,1.45
111,14.00,13.27,508.00,13.26,48.65,52.81,53.49,88.13,1.55
114,46.00,13.27,452.00,13.27,48.65,52.92,53.49,88.15,1.62
117,20.00,13.26,514.00,13.26,48.65,52.92,53.49,88.32,1.63
120,40.00,13.26,456.00,13.26,48.65,52.92,53.49,88.47,1.33
123,40.00,13.27,448.00,13.27,48.54,52.81,53.49,88.61,1.51
126,50.00,13.27,448.00,13.26,48.65,52.81,53.49,88.79,1.43
