# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MAIN], DS18 Temp(F)[Batt], DS18 Temp(F)[MCU], Light (%), Wind Speed
4,8838.00,13.75,446.00,13.71,52.14,53.38,60.24,100.00,7.85
7,528.00,13.72,448.00,13.71,52.25,53.38,60.35,100.00,6.52
10,586.00,13.71,522.00,13.71,52.25,53.38,60.35,100.00,6.82
13,514.00,13.71,452.00,13.70,52.25,53.38,60.35,100.00,7.03
16,8890.00,13.82,472.00,13.82,52.25,53.38,60.35,100.00,6.12
19,574.00,13.72,522.00,13.72,52.25,53.49,60.24,100.00,4.81
22,522.00,13.72,452.00,13.71,52.25,53.38,60.35,100.00,3.70
25,514.00,13.71,462.00,13.70,52.36,53.49,60.24,100.00,8.21
28,580.00,13.80,540.00,13.81,52.36,53.38,60.35,100.00,7.26
31,8848.00,13.78,46.00,13.72,52.25,53.38,60.35,100.00,4.94
34,518.00,13.72,446.00,13.71,52.36,53.38,60.35,100.00,5.08
37,512.00,13.72,458.00,13.70,52.25,53.38,60.24,100.00,5.19
40,576.00,13.71,512.00,13.71,52.47,53.38,60.24,100.00,4.51
43,8886.00,13.82,468.00,13.83,52.36,53.38,60.35,100.00,3.79
46,586.00,13.72,512.00,13.71,52.47,53.38,60.35,100.00,5.65
49,586.00,13.72,522.00,13.71,52.47,53.38,60.35,100.00,4.73
52,580.00,13.72,514.00,13.71,52.47,53.38,60.24,100.00,5.17
55,8792.00,13.81,530.00,13.82,52.47,53.38,60.35,100.00,4.56
58,5424.00,13.73,508.00,13.72,52.59,53.38,60.24,100.00,5.00
61,524.00,13.72,446.00,13.71,52.70,53.38,60.35,100.00,6.31
64,514.00,13.72,462.00,13.71,52.81,53.38,60.24,100.00,8.30
67,580.00,13.80,530.00,13.82,52.81,53.49,60.35,100.00,4.16
70,8868.00,13.79,20.00,13.72,52.81,53.38,60.35,100.00,5.58
73,528.00,13.72,442.00,13.72,52.81,53.38,60.24,100.00,4.00
76,576.00,13.72,518.00,13.71,52.92,53.38,60.35,100.00,5.12
79,514.00,13.72,448.00,13.71,52.81,53.38,60.35,100.00,4.59
82,8920.00,13.83,468.00,13.83,52.81,53.38,60.35,100.00,3.88
85,514.00,13.73,446.00,13.72,52.81,53.49,60.35,100.00,5.81
88,514.00,13.72,456.00,13.72,52.81,53.38,60.46,100.00,5.76
91,580.00,13.71,512.00,13.70,52.81,53.38,60.46,100.00,3.97
94,8878.00,13.82,494.00,13.83,52.81,53.38,60.35,100.00,2.94
97,564.00,13.73,514.00,13.72,52.81,53.38,60.35,100.00,5.39
100,580.00,13.72,512.00,13.71,52.81,53.38,60.35,100.00,6.15
103,514.00,13.72,458.00,13.71,52.81,53.38,60.35,100.00,5.21
106,580.00,13.81,522.00,13.82,52.81,53.49,60.35,100.00,5.10
109,8914.00,13.74,448.00,13.73,52.70,53.38,60.35,100.00,4.02
112,522.00,13.72,446.00,13.72,52.81,53.38,60.35,100.00,3.35
115,512.00,13.72,456.00,13.71,52.81,53.49,60.35,100.00,3.23
118,584.00,13.73,1046.00,13.82,52.81,53.49,60.35,100.00,4.75
121,8932.00,13.83,462.00,13.73,52.92,53.49,60.46,100.00,3.51
124,518.00,13.73,448.00,13.72,52.70,53.49,60.35,100.00,2.91
127,576.00,13.72,514.00,13.72,52.70,53.49,60.35,100.00,3.27
130,514.00,13.71,446.00,13.71,52.81,53.49,60.35,100.00,4.08
133,8854.00,13.82,538.00,13.83,52.81,53.49,60.35,100.00,2.92
136,518.00,13.73,448.00,13.72,52.81,53.49,60.35,100.00,6.13
139,586.00,13.72,518.00,13.72,52.92,53.49,60.35,100.00,5.43
142,580.00,13.72,518.00,13.71,52.81,53.49,60.35,100.00,4.91
145,3392.00,13.82,524.00,13.83,52.70,53.49,60.35,100.00,4.00
148,8946.00,13.73,448.00,13.73,52.70,53.49,60.46,100.00,2.89
151,586.00,13.73,514.00,13.72,52.70,53.60,60.46,100.00,2.05
154,576.00,13.72,524.00,13.71,52.81,53.49,60.35,100.00,3.81
157,514.00,13.71,446.00,13.82,52.81,53.49,60.35,100.00,3.87
160,8864.00,13.83,538.00,13.76,52.81,53.49,60.46,100.00,3.70
163,580.00,13.73,504.00,13.72,52.81,53.49,60.46,100.00,4.11
166,518.00,13.72,458.00,13.71,52.81,53.49,60.46,100.00,7.10
169,518.00,13.71,448.00,13.71,52.70,53.49,60.46,100.00,10.26
172,8904.00,13.82,468.00,13.83,52.59,53.49,60.46,100.00,7.42
175,580.00,13.73,508.00,13.72,52.47,53.60,60.46,100.00,7.19
178,586.00,13.72,518.00,13.71,52.59,53.49,60.35,100.00,7.21
181,584.00,13.72,514.00,13.71,52.59,53.49,60.46,100.00,6.36
184,514.00,13.82,468.00,13.83,52.70,53.60,60.46,100.00,8.10
187,8946.00,13.75,432.00,13.73,52.70,53.49,60.46,100.00,7.37
190,524.00,13.73,452.00,13.72,52.81,53.60,60.46,100.00,7.68
193,518.00,13.72,458.00,13.72,52.70,53.49,60.46,100.00,8.56
196,518.00,13.71,448.00,13.78,52.70,53.49,60.46,100.00,9.83
199,8884.00,13.83,540.00,13.84,52.70,53.49,60.35,100.00,11.32
202,518.00,13.73,448.00,13.72,52.70,53.60,60.46,100.00,5.98
205,524.00,13.73,456.00,13.72,52.70,53.60,60.46,100.00,8.64
208,514.00,13.72,508.00,13.71,52.70,53.49,60.35,100.00,6.83
211,514.00,13.82,476.00,13.83,52.70,53.60,60.46,100.00,5.04
214,8914.00,13.74,502.00,13.73,52.70,53.49,60.46,100.00,6.59
217,594.00,13.73,528.00,13.72,52.70,53.49,60.46,100.00,6.73
220,518.00,13.72,448.00,13.72,52.70,53.60,60.46,100.00,9.03
223,514.00,13.72,458.00,13.82,52.70,53.60,60.46,100.00,7.50
226,8962.00,13.83,458.00,13.80,52.70,53.49,60.35,100.00,8.32
229,518.00,13.73,456.00,13.72,52.70,53.60,60.46,100.00,7.00
232,528.00,13.72,448.00,13.71,52.70,53.60,60.46,100.00,5.18
235,522.00,13.71,458.00,13.71,52.81,53.60,60.46,100.00,5.27
238,8940.00,13.82,462.00,13.83,52.81,53.49,60.46,100.00,4.10
241,2812.00,13.73,518.00,13.72,52.81,53.60,60.46,100.00,4.90
244,590.00,13.72,458.00,13.72,52.81,53.60,60.35,100.00,5.04
247,524.00,13.72,452.00,13.71,52.92,53.60,60.46,100.00,7.11
250,580.00,13.75,548.00,13.82,52.92,53.60,60.46,100.00,3.41
253,8910.00,13.83,184.00,13.72,52.81,53.60,60.46,100.00,7.51
256,518.00,13.73,456.00,13.72,52.92,53.60,60.46,100.00,7.84
259,590.00,13.72,518.00,13.71,53.04,53.60,60.46,100.00,7.23
262,524.00,13.72,524.00,13.71,53.04,53.60,60.46,100.00,8.09
265,8958.00,13.82,462.00,13.83,53.04,53.60,60.57,100.00,6.30
268,560.00,13.73,522.00,13.72,52.92,53.60,60.46,100.00,7.47
271,586.00,13.72,514.00,13.71,52.92,53.60,60.46,100.00,6.23
274,594.00,13.72,528.00,13.70,52.92,53.71,60.46,100.00,8.93
277,518.00,13.81,466.00,13.82,53.04,53.71,60.46,100.00,5.68
280,8962.00,13.76,446.00,13.72,52.92,53.60,60.46,100.00,10.06
283,512.00,13.72,452.00,13.72,52.92,53.60,60.46,100.00,6.97
286,596.00,13.72,466.00,13.71,52.81,53.60,60.46,100.00,11.32
289,528.00,13.71,446.00,13.80,52.81,53.71,60.46,100.00,12.08
292,8932.00,13.82,538.00,13.83,52.81,53.71,60.57,100.00,6.94
295,504.00,13.73,446.00,13.72,52.81,53.60,60.46,100.00,7.60
298,522.00,13.72,462.00,13.72,52.81,53.71,60.46,100.00,6.59
301,590.00,13.72,514.00,13.71,52.70,53.71,60.46,100.00,6.64
304,530.00,13.82,472.00,13.82,52.70,53.71,60.46,100.00,9.62
307,8978.00,13.74,446.00,13.73,52.70,53.60,60.46,100.00,6.68
310,584.00,13.73,528.00,13.72,52.59,53.60,60.46,100.00,9.12
313,586.00,13.72,512.00,13.71,52.59,53.71,60.46,100.00,9.39
316,590.00,13.72,518.00,13.73,52.47,53.71,60.57,100.00,6.38
319,8952.00,13.83,462.00,13.84,52.47,53.71,60.57,100.00,9.15
322,574.00,13.73,514.00,13.72,52.47,53.71,60.46,100.00,8.89
325,580.00,13.72,518.00,13.72,52.59,53.71,60.46,100.00,6.27
328,586.00,13.72,524.00,13.71,52.59,53.71,60.46,100.00,9.63
331,8832.00,13.82,524.00,13.83,52.59,53.60,60.46,100.00,8.13
334,2612.00,13.73,448.00,13.73,52.59,53.60,60.46,100.00,10.07
337,514.00,13.73,452.00,13.72,52.59,53.71,60.57,100.00,8.51
340,514.00,13.72,458.00,13.71,52.59,53.71,60.57,100.00,11.29
343,524.00,13.79,652.00,13.82,52.36,53.71,60.46,100.00,11.83
346,8942.00,13.81,528.00,13.73,52.25,53.71,60.57,100.00,12.92
349,524.00,13.73,462.00,13.72,52.14,53.71,60.57,100.00,10.02
352,570.00,13.72,456.00,13.72,52.03,53.71,60.57,100.00,9.63
355,518.00,13.72,462.00,13.71,52.03,53.71,60.46,100.00,10.51
358,8922.00,13.82,462.00,13.83,52.14,53.71,60.57,100.00,7.80
361,522.00,13.73,456.00,13.72,52.03,53.71,60.46,100.00,7.07
364,594.00,13.72,518.00,13.72,52.03,53.71,60.46,100.00,5.34
367,584.00,13.72,518.00,13.71,52.03,53.71,60.46,100.00,4.27
370,7982.00,13.82,524.00,13.83,52.14,53.71,60.46,100.00,7.08
373,8956.00,13.74,456.00,13.73,52.14,53.71,60.57,100.00,10.46
376,524.00,13.72,446.00,13.72,52.14,53.71,60.57,100.00,7.17
379,528.00,13.72,466.00,13.71,52.14,53.71,60.46,100.00,11.68
382,518.00,13.71,452.00,13.82,52.14,53.82,60.57,100.00,11.02
385,8950.00,13.83,530.00,13.73,52.14,53.71,60.57,100.00,7.43
388,524.00,13.73,442.00,13.72,52.14,53.71,60.46,100.00,8.46
391,524.00,13.72,462.00,13.72,52.14,53.71,60.57,100.00,7.71
394,524.00,13.72,448.00,13.71,52.03,53.71,60.57,100.00,8.42
397,8950.00,13.83,466.00,13.83,52.25,53.71,60.57,100.00,5.43
400,560.00,13.73,508.00,13.72,52.25,53.71,60.46,100.00,6.40
403,574.00,13.73,522.00,13.72,52.03,53.71,60.46,100.00,4.95
406,528.00,13.72,448.00,13.71,52.03,53.71,60.57,100.00,8.61
409,530.00,13.82,478.00,13.83,52.14,53.71,60.57,100.00,12.62
412,8910.00,13.74,508.00,13.73,51.91,53.71,60.57,100.00,7.45
415,512.00,13.73,456.00,13.72,52.03,53.71,60.57,100.00,6.83
418,522.00,13.72,452.00,13.72,52.03,53.71,60.46,100.00,5.93
421,586.00,13.72,596.00,13.82,52.03,53.71,60.46,100.00,4.78
424,8904.00,13.84,518.00,13.76,52.03,53.82,60.46,100.00,6.72
427,514.00,13.73,468.00,13.73,52.03,53.71,60.46,100.00,6.95
430,512.00,13.73,446.00,13.72,52.14,53.82,60.46,100.00,5.58
433,584.00,13.72,524.00,13.71,52.14,53.71,60.46,100.00,8.31
436,8914.00,13.82,524.00,13.83,52.25,53.71,60.46,100.00,7.48
439,518.00,13.74,466.00,13.73,52.25,53.82,60.46,100.00,8.29
442,522.00,13.73,446.00,13.72,52.36,53.71,60.57,100.00,5.74
445,512.00,13.72,458.00,13.71,52.36,53.71,60.46,100.00,5.51
448,512.00,13.82,468.00,13.83,52.36,53.82,60.46,100.00,4.41
451,8988.00,13.77,226.00,13.73,52.47,53.71,60.46,100.00,4.28
454,518.00,13.73,442.00,13.72,52.47,53.82,60.46,100.00,3.25
457,524.00,13.72,458.00,13.72,52.47,53.71,60.46,100.00,4.59
460,524.00,13.72,448.00,13.72,52.70,53.71,60.57,100.00,8.90
463,8972.00,13.83,476.00,13.84,52.70,53.82,60.46,100.00,6.24
466,574.00,13.73,456.00,13.72,52.59,53.82,60.57,100.00,6.24
469,594.00,13.72,522.00,13.71,52.59,53.71,60.46,100.00,7.83
472,522.00,13.72,448.00,13.71,52.81,53.71,60.57,100.00,8.70
475,8760.00,13.82,538.00,13.83,52.92,53.71,60.57,100.00,6.80
478,8914.00,13.74,502.00,13.72,52.92,53.71,60.57,100.00,9.80
481,514.00,13.72,458.00,13.72,52.92,53.71,60.57,100.00,7.76
484,590.00,13.72,514.00,13.71,52.81,53.82,60.46,100.00,4.83
487,586.00,13.72,1028.00,13.82,52.92,53.82,60.57,100.00,4.95
490,8926.00,13.83,522.00,13.73,52.81,53.82,60.57,100.00,3.07
493,580.00,13.73,518.00,13.72,52.92,53.82,60.46,100.00,3.94
496,576.00,13.72,514.00,13.72,52.92,53.82,60.57,100.00,4.22
499,580.00,13.72,522.00,13.71,52.92,53.82,60.57,100.00,4.70
502,8976.00,13.83,462.00,13.83,53.04,53.71,60.46,100.00,4.71
505,8994.00,13.74,456.00,13.73,53.15,53.82,60.46,100.00,5.72
508,580.00,13.73,514.00,13.72,53.15,53.82,60.57,100.00,4.41
511,580.00,13.72,522.00,13.71,53.26,53.82,60.57,100.00,4.39
514,522.00,13.71,524.00,13.82,53.26,53.82,60.57,100.00,3.82
517,8914.00,13.83,538.00,13.78,53.26,53.94,60.57,100.00,5.39
520,524.00,13.73,442.00,13.72,53.38,53.82,60.57,100.00,5.54
523,518.00,13.72,456.00,13.72,53.38,53.82,60.57,100.00,7.83
526,584.00,13.72,514.00,13.71,53.38,53.94,60.46,100.00,6.56
529,8752.00,13.82,540.00,13.83,53.15,53.94,60.57,100.00,6.85
532,9022.00,13.74,446.00,13.73,53.26,53.82,60.57,100.00,5.92
535,524.00,13.73,456.00,13.72,53.15,53.94,60.57,100.00,5.57
538,518.00,13.72,448.00,13.72,53.26,53.94,60.57,100.00,5.67
541,584.00,13.72,524.00,13.82,53.26,53.94,60.57,100.00,4.82
544,9028.00,13.84,466.00,13.75,53.26,53.94,60.57,100.00,4.86
547,508.00,13.73,446.00,13.73,53.38,53.94,60.57,100.00,4.26
550,528.00,13.72,448.00,13.72,53.26,53.94,60.57,100.00,6.51
553,594.00,13.72,528.00,13.71,53.38,53.94,60.57,100.00,7.33
556,590.00,13.82,530.00,13.83,53.49,54.05,60.57,100.00,5.81
559,9044.00,13.74,448.00,13.72,53.49,53.94,60.57,100.00,5.34
562,512.00,13.73,456.00,13.72,53.49,53.94,60.57,100.00,5.93
565,522.00,13.72,456.00,13.72,53.49,53.94,60.69,100.00,6.65
568,594.00,13.72,524.00,13.81,53.38,53.94,60.57,100.00,6.01
571,9028.00,13.83,462.00,13.84,53.38,53.94,60.57,100.00,3.72
574,576.00,13.73,518.00,13.72,53.26,53.94,60.57,100.00,2.67
577,576.00,13.72,514.00,13.72,53.38,54.05,60.57,100.00,3.17
580,512.00,13.72,452.00,13.72,53.38,53.94,60.57,100.00,3.76
583,8986.00,13.83,522.00,13.83,53.38,53.94,60.57,100.00,3.16
586,554.00,13.74,512.00,13.73,53.49,53.94,60.57,100.00,2.46
589,518.00,13.73,446.00,13.72,53.49,54.05,60.69,100.00,2.25
592,514.00,13.72,452.00,13.71,53.49,54.05,60.69,100.00,1.69
595,518.00,13.72,1052.00,13.82,53.60,54.05,60.69,100.00,2.22
598,9054.00,13.84,462.00,13.73,53.71,53.94,60.69,100.00,2.99
601,580.00,13.72,512.00,13.72,53.71,53.94,60.57,100.00,4.61
604,524.00,13.72,458.00,13.71,53.71,54.05,60.57,100.00,6.21
607,524.00,13.72,446.00,13.71,53.71,53.94,60.69,100.00,4.39
610,9058.00,13.83,472.00,13.84,53.60,53.94,60.69,100.00,3.99
613,540.00,13.73,514.00,13.73,53.60,53.94,60.69,100.00,4.75
616,518.00,13.72,456.00,13.72,53.60,54.05,60.69,100.00,5.19
619,590.00,13.72,508.00,13.71,53.60,53.94,60.69,100.00,4.79
622,528.00,13.78,468.00,13.83,53.60,53.94,60.69,100.00,5.53
625,9002.00,13.82,478.00,13.73,53.49,53.94,60.69,100.00,3.72
628,580.00,13.73,522.00,13.72,53.49,53.94,60.57,100.00,5.30
631,576.00,13.72,514.00,13.72,53.60,53.94,60.69,100.00,5.69
634,514.00,13.72,448.00,13.71,53.49,54.05,60.69,100.00,5.71
637,8972.00,13.83,530.00,13.83,53.49,53.94,60.57,100.00,5.58
640,580.00,13.74,508.00,13.73,53.49,53.94,60.69,100.00,5.41
643,586.00,13.73,522.00,13.72,53.38,54.05,60.69,100.00,5.68
646,518.00,13.72,452.00,13.72,53.38,53.94,60.69,100.00,8.08
649,518.00,13.82,476.00,13.82,53.26,54.05,60.69,100.00,10.45
652,8988.00,13.84,476.00,13.73,53.26,54.05,60.69,100.00,7.98
655,522.00,13.73,458.00,13.72,53.15,54.05,60.69,100.00,7.40
658,594.00,13.73,514.00,13.72,53.04,54.05,60.69,100.00,7.17
661,590.00,13.72,528.00,13.82,53.04,54.05,60.80,100.00,7.56
664,9024.00,13.83,524.00,13.83,53.04,54.05,60.80,100.00,7.25
667,514.00,13.73,458.00,13.73,52.92,54.05,60.69,100.00,6.38
670,576.00,13.72,514.00,13.72,52.92,54.05,60.80,100.00,3.52
673,518.00,13.72,456.00,13.71,52.92,54.05,60.80,100.00,5.38
676,524.00,13.82,468.00,13.83,52.92,54.05,60.69,100.00,5.10
679,9002.00,13.74,508.00,13.73,52.92,54.05,60.69,100.00,3.98
682,528.00,13.73,452.00,13.72,53.04,54.05,60.80,100.00,8.46
685,522.00,13.72,456.00,13.72,52.92,54.05,60.69,100.00,8.22
688,576.00,13.72,518.00,13.82,52.81,54.05,60.80,100.00,8.20
691,8982.00,13.83,530.00,13.76,52.81,54.05,60.69,100.00,7.15
694,574.00,13.73,514.00,13.72,52.70,54.05,60.80,100.00,5.15
697,590.00,13.72,512.00,13.72,52.59,54.05,60.80,100.00,4.49
700,590.00,13.72,524.00,13.71,52.59,54.05,60.69,100.00,3.64
703,9040.00,13.83,462.00,13.84,52.81,54.05,60.69,100.00,4.55
706,504.00,13.73,452.00,13.73,52.81,54.05,60.80,100.00,3.54
