# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MAIN], DS18 Temp(F)[Batt], DS18 Temp(F)[MCU], Light (%), Wind Speed
4,6842.00,13.76,458.00,13.76,52.47,56.19,61.14,100.00,9.44
7,7232.00,13.72,446.00,13.71,52.36,56.19,61.14,100.00,8.22
10,524.00,13.74,458.00,13.74,52.36,56.19,61.14,100.00,6.41
13,576.00,13.75,518.00,13.75,52.36,56.19,61.14,100.00,3.94
16,522.00,13.75,446.00,13.83,52.36,56.19,61.14,100.00,4.23
19,7182.00,13.84,462.00,13.75,52.47,56.19,61.14,100.00,7.60
22,590.00,13.74,522.00,13.74,52.47,56.07,61.14,100.00,10.42
25,580.00,13.74,530.00,13.74,52.36,56.19,61.14,100.00,10.71
28,528.00,13.74,458.00,13.74,52.47,56.07,61.14,100.00,10.52
31,7320.00,13.84,522.00,13.84,52.36,56.19,61.14,100.00,7.62
34,518.00,13.76,514.00,13.75,52.25,56.19,61.14,100.00,8.06
37,580.00,13.73,524.00,13.72,52.36,56.07,61.14,100.00,6.00
40,594.00,13.69,518.00,13.68,52.36,56.19,61.14,100.00,5.67
43,522.00,13.75,466.00,13.75,52.47,56.07,61.14,100.00,7.12
46,6642.00,13.71,514.00,13.70,52.47,56.19,61.14,100.00,5.02
49,580.00,13.73,528.00,13.73,52.59,56.19,61.03,100.00,5.31
52,530.00,13.74,452.00,13.74,52.59,56.07,61.14,100.00,5.14
55,524.00,13.71,764.00,13.79,52.70,56.07,61.14,100.00,5.66
58,5596.00,13.74,462.00,13.67,52.59,56.19,61.14,100.00,7.16
61,522.00,13.68,456.00,13.68,52.59,56.07,61.14,100.00,4.36
64,514.00,13.68,456.00,13.68,52.59,56.07,61.03,100.00,4.41
67,596.00,13.69,508.00,13.68,52.59,56.19,61.14,100.00,5.98
70,5440.00,13.77,524.00,13.78,52.47,56.07,61.14,100.00,6.47
73,384.00,13.71,522.00,13.69,52.59,56.19,61.14,100.00,11.27
76,584.00,13.69,524.00,13.68,52.47,56.19,61.14,100.00,9.69
79,530.00,13.70,448.00,13.70,52.47,56.19,61.14,100.00,9.49
82,580.00,13.81,528.00,13.82,52.36,56.19,61.14,100.00,11.47
