# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MAIN], DS18 Temp(F)[Batt], DS18 Temp(F)[MCU], Light (%), Wind Speed
3,9140.00,13.81,468.00,13.72,52.03,55.96,62.26,100.00,6.81
6,518.00,13.71,452.00,13.70,52.03,55.96,62.26,100.00,6.29
9,576.00,13.70,508.00,13.69,51.91,56.07,62.26,100.00,5.63
12,590.00,13.70,512.00,13.69,51.91,55.96,62.26,100.00,5.12
15,514.00,13.80,468.00,13.81,52.03,55.96,62.26,100.00,4.36
18,9266.00,13.73,442.00,13.71,52.03,55.96,62.15,100.00,4.31
21,518.00,13.71,448.00,13.70,52.03,55.96,62.26,100.00,2.95
24,576.00,13.70,514.00,13.69,52.14,55.96,62.26,100.00,2.41
27,584.00,13.69,514.00,13.69,52.14,55.96,62.26,100.00,2.46
30,9248.00,13.80,462.00,13.82,52.25,55.96,62.26,100.00,3.57
33,574.00,13.71,518.00,13.70,52.36,56.07,62.15,100.00,4.01
36,524.00,13.71,458.00,13.70,52.47,56.07,62.15,100.00,4.51
39,522.00,13.70,458.00,13.69,52.59,55.96,62.26,100.00,3.90
42,580.00,13.70,1146.00,13.80,52.59,55.96,62.26,100.00,3.43
45,9254.00,13.82,458.00,13.71,52.81,55.96,62.15,100.00,3.20
48,576.00,13.71,512.00,13.70,52.92,56.07,62.15,100.00,1.95
51,514.00,13.70,448.00,13.70,53.04,55.96,62.26,100.00,4.03
54,586.00,13.70,508.00,13.70,53.04,56.07,62.15,100.00,2.38
57,14.00,13.81,528.00,13.82,53.04,55.96,62.15,100.00,2.56
60,230.00,13.72,446.00,13.71,53.04,55.96,62.26,100.00,2.16
63,528.00,13.71,452.00,13.70,53.04,55.96,62.26,100.00,1.62
66,514.00,13.70,452.00,13.70,53.15,55.96,62.26,100.00,2.35
69,518.00,13.70,452.00,13.70,53.04,55.96,62.26,100.00,2.24
72,9222.00,13.82,530.00,13.79,53.04,55.96,62.15,100.00,2.71
75,576.00,13.71,518.00,13.70,53.04,55.96,62.15,100.00,4.33
78,522.00,13.71,458.00,13.70,53.15,56.07,62.26,100.00,3.46
81,534.00,13.70,458.00,13.70,53.04,56.07,62.15,100.00,8.16
84,514.00,13.70,484.00,13.81,53.15,56.07,62.26,100.00,7.91
87,9222.00,13.78,158.00,13.71,53.04,55.96,62.15,100.00,6.67
90,580.00,13.71,524.00,13.70,52.92,55.85,62.15,100.00,4.97
93,576.00,13.70,524.00,13.70,52.92,55.96,62.15,100.00,7.05
96,524.00,13.70,452.00,13.69,52.92,56.07,62.26,100.00,5.85
99,9214.00,13.81,530.00,13.82,52.92,55.96,62.15,100.00,7.32
102,1508.00,13.72,452.00,13.71,52.92,55.96,62.15,100.00,5.58
105,590.00,13.71,504.00,13.70,53.15,56.07,62.15,100.00,2.82
108,518.00,13.70,442.00,13.70,53.04,55.96,62.15,100.00,3.32
111,580.00,13.70,512.00,13.72,52.92,55.96,62.15,100.00,3.47
114,9290.00,13.82,456.00,13.82,53.04,56.07,62.15,100.00,3.89
117,514.00,13.71,448.00,13.71,53.04,55.96,62.15,100.00,5.24
120,580.00,13.70,512.00,13.70,52.92,55.96,62.15,100.00,4.73
123,590.00,13.70,514.00,13.69,52.92,55.96,62.15,100.00,3.61
126,514.00,13.70,456.00,13.81,52.92,55.96,62.15,100.00,3.29
129,9258.00,13.82,528.00,13.76,53.04,55.96,62.04,100.00,2.81
132,584.00,13.72,518.00,13.71,53.04,55.96,62.15,100.00,2.39
135,576.00,13.71,518.00,13.70,53.04,55.96,62.15,100.00,2.29
138,522.00,13.71,452.00,13.70,53.04,55.96,62.15,100.00,2.04
141,524.00,13.81,476.00,13.82,53.15,55.96,62.15,100.00,2.53
144,9300.00,13.73,448.00,13.72,53.26,55.96,62.15,100.00,1.86
147,514.00,13.72,448.00,13.71,53.49,55.96,62.15,100.00,2.10
150,518.00,13.71,448.00,13.71,53.60,55.96,62.15,100.00,3.48
153,514.00,13.71,452.00,13.70,53.71,55.96,62.15,100.00,4.15
156,9332.00,13.82,466.00,13.83,53.71,55.85,62.15,100.00,4.41
159,522.00,13.72,446.00,13.71,53.71,55.96,62.04,100.00,4.55
162,514.00,13.72,446.00,13.71,53.82,55.96,62.04,100.00,3.30
165,522.00,13.71,452.00,13.71,53.82,55.85,62.15,100.00,4.10
168,524.00,13.78,484.00,13.82,53.94,56.07,62.04,100.00,5.15
171,9368.00,13.82,432.00,13.72,54.05,55.96,62.15,100.00,4.46
174,518.00,13.72,448.00,13.71,54.16,55.96,62.15,100.00,7.48
177,586.00,13.72,512.00,13.71,54.05,55.96,62.15,100.00,6.86
180,514.00,13.71,452.00,13.71,54.05,55.96,62.04,100.00,5.89
183,9264.00,13.82,530.00,13.83,53.94,55.96,62.04,100.00,6.31
186,478.00,13.73,446.00,13.72,53.94,55.85,62.15,100.00,5.36
189,576.00,13.72,508.00,13.71,53.94,55.96,62.15,100.00,6.11
192,576.00,13.72,514.00,13.71,53.94,55.96,62.04,100.00,7.11
195,524.00,13.71,458.00,13.82,53.82,55.85,62.15,100.00,6.30
198,9368.00,13.83,472.00,13.83,53.71,55.96,62.04,100.00,5.49
201,580.00,13.73,522.00,13.72,53.60,55.96,62.15,100.00,6.24
204,594.00,13.72,524.00,13.71,53.49,55.96,62.15,100.00,5.28
207,518.00,13.72,462.00,13.70,53.38,55.96,62.15,100.00,6.84
210,590.00,13.82,548.00,13.82,53.38,55.96,62.15,100.00,5.65
213,9306.00,13.74,458.00,13.72,53.38,55.96,62.15,100.00,3.90
216,514.00,13.72,458.00,13.72,53.38,55.96,62.04,100.00,6.17
219,514.00,13.71,456.00,13.71,53.38,55.96,62.04,100.00,5.35
222,522.00,13.71,456.00,13.70,53.38,55.96,62.04,100.00,3.71
225,9322.00,13.82,468.00,13.83,53.49,55.96,62.15,100.00,6.55
228,514.00,13.73,456.00,13.72,53.49,55.96,62.15,100.00,7.58
231,594.00,13.72,518.00,13.71,53.38,55.96,62.15,100.00,5.91
234,514.00,13.72,456.00,13.71,53.38,55.96,62.15,100.00,7.52
237,514.00,13.71,1052.00,13.82,53.26,55.96,62.15,100.00,6.54
240,9368.00,13.84,458.00,13.73,53.04,55.96,62.15,100.00,6.07
243,576.00,13.72,514.00,13.72,53.04,55.96,62.15,100.00,6.15
246,512.00,13.72,448.00,13.71,53.04,56.07,62.04,100.00,7.58
249,596.00,13.72,514.00,13.71,52.92,55.96,62.15,100.00,6.25
252,9254.00,13.82,524.00,13.84,52.92,55.96,62.04,100.00,5.00
255,7042.00,13.74,442.00,13.73,52.70,56.07,62.04,100.00,4.03
258,586.00,13.73,514.00,13.72,52.81,55.96,62.15,100.00,5.41
261,524.00,13.72,446.00,13.72,52.70,55.96,62.04,100.00,4.83
264,512.00,13.72,448.00,13.80,52.81,55.96,62.04,100.00,3.85
267,9420.00,13.84,458.00,13.84,52.81,55.96,62.15,100.00,3.69
270,586.00,13.74,508.00,13.73,52.92,55.96,62.04,100.00,4.21
273,514.00,13.73,446.00,13.72,52.92,55.85,62.04,100.00,5.01
276,528.00,13.73,446.00,13.72,52.92,55.96,62.04,100.00,3.17
279,586.00,13.82,528.00,13.84,52.92,55.85,62.04,100.00,4.99
282,9496.00,13.76,442.00,13.74,53.04,55.96,62.04,100.00,5.04
285,584.00,13.73,512.00,13.73,53.04,55.96,62.04,100.00,4.43
288,528.00,13.73,442.00,13.72,53.15,55.96,62.04,100.00,4.40
291,518.00,13.72,448.00,13.72,53.04,55.96,62.04,100.00,5.31
294,9486.00,13.84,462.00,13.84,53.04,55.96,62.04,100.00,5.12
297,518.00,13.74,446.00,13.73,53.26,55.96,62.04,100.00,4.20
300,584.00,13.73,514.00,13.72,53.15,55.96,62.04,100.00,4.85
303,584.00,13.72,514.00,13.71,53.26,55.96,62.04,100.00,4.52
306,524.00,13.70,892.00,13.80,53.38,55.96,62.04,100.00,3.70
309,8978.00,13.80,66.00,13.70,53.26,55.96,62.04,100.00,2.65
312,584.00,13.70,518.00,13.69,53.26,55.85,62.04,100.00,2.45
315,522.00,13.70,456.00,13.69,53.38,55.96,62.04,100.00,3.09
318,584.00,13.70,514.00,13.69,53.38,55.96,61.92,100.00,2.85
321,930.00,13.80,534.00,13.80,53.38,55.85,61.92,100.00,2.74
324,9068.00,13.71,514.00,13.70,53.38,55.85,61.92,100.00,2.73
327,576.00,13.70,518.00,13.70,53.38,55.96,61.92,100.00,2.38
330,518.00,13.69,458.00,13.68,53.38,55.96,62.04,100.00,3.17
333,528.00,13.69,456.00,13.68,53.60,55.96,62.04,100.00,3.67
336,9054.00,13.80,538.00,13.80,53.71,55.85,61.92,100.00,3.19
339,512.00,13.70,452.00,13.69,53.60,55.96,62.04,100.00,4.09
342,514.00,13.69,462.00,13.69,53.60,55.96,62.04,100.00,3.49
345,584.00,13.69,514.00,13.68,53.71,55.85,61.92,100.00,3.63
348,522.00,13.69,468.00,13.80,53.71,55.85,62.04,100.00,3.30
351,9096.00,13.80,472.00,13.70,53.60,55.96,62.04,100.00,2.61
354,522.00,13.70,456.00,13.70,53.71,55.85,62.04,100.00,4.11
357,576.00,13.70,528.00,13.69,53.82,55.96,62.04,100.00,6.24
360,508.00,13.70,458.00,13.69,53.71,55.96,62.04,100.00,5.69
363,522.00,13.80,476.00,13.81,53.60,55.85,62.04,100.00,5.61
366,9094.00,13.70,458.00,13.70,53.49,55.85,61.92,100.00,4.12
369,576.00,13.70,518.00,13.69,53.49,55.85,61.92,100.00,4.22
372,586.00,13.70,522.00,13.69,53.49,55.96,62.04,100.00,4.83
375,584.00,13.70,518.00,13.69,53.38,55.85,62.04,100.00,2.99
378,9290.00,13.81,468.00,13.82,53.26,55.96,62.04,100.00,2.49
381,574.00,13.71,514.00,13.70,53.26,55.85,62.04,100.00,2.49
384,522.00,13.71,448.00,13.70,53.38,55.85,61.92,100.00,2.33
387,522.00,13.70,462.00,13.70,53.49,55.85,62.04,100.00,4.61
390,518.00,13.70,1038.00,13.80,53.26,55.96,61.92,100.00,3.08
393,9172.00,13.81,528.00,13.71,53.15,55.85,62.04,100.00,3.28
396,584.00,13.71,514.00,13.70,53.04,55.85,62.04,100.00,3.17
399,514.00,13.71,456.00,13.70,52.92,55.85,62.04,100.00,2.50
402,518.00,13.70,456.00,13.69,53.04,55.96,61.92,100.00,4.48
405,594.00,13.77,534.00,13.79,52.92,55.85,61.92,100.00,3.75
408,8994.00,13.70,452.00,13.69,53.04,55.85,62.04,100.00,4.22
411,580.00,13.68,518.00,13.68,53.04,55.85,62.04,100.00,3.84
414,586.00,13.68,448.00,13.67,53.15,55.85,62.04,100.00,3.29
417,518.00,13.68,518.00,13.67,53.15,55.85,61.92,100.00,2.94
420,8992.00,13.79,530.00,13.80,53.15,55.96,62.04,100.00,1.95
423,584.00,13.70,514.00,13.69,53.15,55.96,61.92,100.00,3.62
426,522.00,13.69,458.00,13.68,53.26,55.96,62.04,100.00,3.91
429,580.00,13.69,514.00,13.68,53.15,55.96,61.92,100.00,2.80
432,518.00,13.74,498.00,13.80,53.26,55.85,61.92,100.00,2.33
435,8976.00,13.80,498.00,13.70,53.26,55.85,62.04,100.00,2.02
438,576.00,13.70,512.00,13.69,53.38,55.85,62.04,100.00,1.64
441,518.00,13.70,452.00,13.69,53.38,55.85,61.92,100.00,2.34
444,586.00,13.70,512.00,13.69,53.49,55.85,62.04,100.00,2.36
447,9152.00,13.81,466.00,13.82,53.49,55.96,61.92,100.00,2.97
450,482.00,13.71,446.00,13.70,53.60,55.96,61.92,100.00,3.50
453,590.00,13.70,518.00,13.70,53.60,55.96,61.92,100.00,5.94
456,584.00,13.68,512.00,13.68,53.60,55.96,61.92,100.00,4.43
459,512.00,13.67,452.00,13.77,53.60,55.96,62.04,100.00,3.26
462,8696.00,13.79,522.00,13.69,53.71,55.96,62.04,100.00,4.17
465,524.00,13.70,448.00,13.69,53.49,55.96,62.04,100.00,4.41
468,514.00,13.70,448.00,13.69,53.60,55.96,61.92,100.00,3.12
471,514.00,13.69,452.00,13.69,53.49,55.85,61.92,100.00,3.33
474,3946.00,13.80,466.00,13.81,53.49,55.96,61.92,100.00,5.35
477,8828.00,13.72,508.00,13.71,53.49,55.85,62.04,100.00,2.89
480,574.00,13.72,512.00,13.72,53.38,55.96,62.04,100.00,2.79
483,518.00,13.72,448.00,13.72,53.26,55.96,61.92,100.00,3.87
486,590.00,13.72,514.00,13.71,53.26,55.85,62.04,100.00,3.25
489,8678.00,13.81,458.00,13.82,53.15,55.96,62.04,100.00,2.36
492,508.00,13.70,446.00,13.69,53.15,55.96,61.92,100.00,1.98
495,590.00,13.68,512.00,13.67,53.26,55.96,62.04,100.00,3.25
498,512.00,13.67,456.00,13.67,53.26,55.96,62.04,100.00,4.91
501,576.00,13.67,452.00,13.76,53.26,55.96,61.92,100.00,5.04
504,8120.00,13.79,522.00,13.79,53.26,55.85,62.04,100.00,4.60
507,524.00,13.72,446.00,13.71,53.15,55.96,61.92,100.00,4.36
510,584.00,13.71,512.00,13.70,52.92,55.96,61.92,100.00,2.59
513,580.00,13.70,508.00,13.69,52.92,55.96,61.92,100.00,1.79
516,524.00,13.77,462.00,13.78,52.92,55.96,61.92,100.00,1.64
519,7972.00,13.79,494.00,13.69,52.92,55.96,62.04,100.00,1.72
522,514.00,13.69,448.00,13.69,52.92,55.96,61.92,100.00,3.21
525,584.00,13.68,512.00,13.67,53.04,55.96,61.92,100.00,2.88
528,524.00,13.68,448.00,13.68,53.04,56.07,61.92,100.00,3.89
531,7510.00,13.77,528.00,13.78,53.26,55.96,61.92,100.00,4.08
534,7472.00,13.69,448.00,13.68,53.38,55.96,62.04,100.00,4.72
537,580.00,13.68,512.00,13.66,53.26,55.96,61.92,100.00,4.28
540,590.00,13.68,512.00,13.67,53.26,55.96,61.92,100.00,2.73
543,514.00,13.71,720.00,13.79,53.26,55.96,62.04,100.00,2.96
546,6600.00,13.81,518.00,13.82,53.26,55.96,61.92,100.00,2.09
549,518.00,13.76,446.00,13.75,53.26,55.96,61.92,100.00,2.05
552,584.00,13.75,512.00,13.74,53.26,55.96,61.92,100.00,2.50
555,518.00,13.68,452.00,13.68,53.15,55.96,61.92,100.00,2.90
558,6276.00,13.75,466.00,13.76,53.04,55.96,61.92,100.00,2.30
561,5790.00,13.75,522.00,13.68,53.04,55.96,61.92,100.00,1.64
564,514.00,13.68,448.00,13.68,52.92,55.96,61.92,100.00,1.68
567,512.00,13.67,452.00,13.66,52.92,55.96,61.92,100.00,1.45
570,580.00,13.67,522.00,13.71,53.04,55.96,61.92,100.00,1.44
573,5102.00,13.76,456.00,13.76,53.15,55.96,61.92,100.00,1.35
576,4872.00,13.72,512.00,13.68,53.15,55.96,61.81,100.00,1.48
579,518.00,13.73,456.00,13.73,53.15,55.96,61.92,100.00,1.68
582,580.00,13.74,518.00,13.74,53.26,55.96,61.81,100.00,1.83
585,2108.00,13.76,466.00,13.77,53.26,55.96,61.92,100.00,3.17
588,4754.00,13.74,528.00,13.75,53.38,55.96,61.92,100.00,2.85
591,570.00,13.69,514.00,13.68,53.38,55.96,61.92,100.00,2.61
594,518.00,13.71,456.00,13.71,53.49,55.96,61.92,100.00,2.90
597,590.00,13.72,522.00,13.78,53.49,55.96,61.92,100.00,2.39
600,5112.00,13.79,462.00,13.79,53.49,55.96,61.81,100.00,2.34
603,4926.00,13.76,370.00,13.70,53.49,55.96,61.81,100.00,2.94
606,508.00,13.67,456.00,13.66,53.49,55.96,61.81,100.00,2.37
609,584.00,13.69,514.00,13.68,53.60,56.07,61.81,100.00,1.69
612,590.00,13.73,530.00,13.73,53.60,55.96,61.92,100.00,2.82
615,4116.00,13.72,462.00,13.72,53.49,55.96,61.92,100.00,2.80
618,3876.00,13.73,446.00,13.68,53.49,55.96,61.81,100.00,2.95
621,518.00,13.70,458.00,13.69,53.26,55.96,61.81,100.00,2.69
624,518.00,13.69,456.00,13.69,53.04,56.07,61.81,100.00,2.79
627,3572.00,13.71,462.00,13.71,52.92,55.96,61.81,100.00,3.31
630,3376.00,13.72,462.00,13.72,52.81,56.07,61.81,100.00,3.37
633,3086.00,13.68,466.00,13.67,52.70,55.96,61.81,100.00,3.97
636,512.00,13.67,456.00,13.67,52.70,56.07,61.70,100.00,2.90
639,590.00,13.73,522.00,13.73,52.59,56.07,61.81,100.00,3.55
642,3352.00,13.78,458.00,13.79,52.59,56.07,61.81,100.00,4.26
645,3268.00,13.82,522.00,13.82,52.70,55.96,61.81,100.00,3.41
648,512.00,13.76,448.00,13.76,52.70,56.07,61.81,100.00,2.39
651,574.00,13.72,512.00,13.71,52.81,55.96,61.81,100.00,4.88
654,2824.00,13.73,518.00,13.72,52.81,56.07,61.81,100.00,5.55
657,2740.00,13.70,452.00,13.70,52.92,55.96,61.70,100.00,4.61
660,2740.00,13.72,518.00,13.68,52.81,55.96,61.70,100.00,4.03
663,584.00,13.69,512.00,13.68,52.81,56.07,61.70,100.00,4.11
666,2628.00,13.71,452.00,13.71,52.81,56.07,61.81,100.00,3.29
669,2596.00,13.71,456.00,13.71,52.81,56.07,61.81,100.00,2.81
672,2422.00,13.70,514.00,13.70,52.81,56.07,61.70,100.00,3.78
675,2300.00,13.70,442.00,13.66,52.81,56.07,61.81,100.00,4.78
678,518.00,13.67,448.00,13.70,52.70,55.96,61.70,100.00,5.39
681,2362.00,13.73,456.00,13.72,52.70,56.07,61.70,100.00,4.55
684,2396.00,13.74,458.00,13.74,52.47,56.07,61.70,100.00,6.99
687,2488.00,13.76,448.00,13.76,52.36,56.07,61.70,100.00,7.47
690,1494.00,13.73,446.00,13.72,52.36,56.07,61.70,100.00,7.21
693,528.00,13.75,456.00,13.74,52.25,56.07,61.70,100.00,5.42
696,2478.00,13.76,458.00,13.76,52.14,56.07,61.70,100.00,3.59
699,2356.00,13.77,512.00,13.76,52.03,56.07,61.70,100.00,4.06
702,2208.00,13.72,452.00,13.71,51.91,56.07,61.70,100.00,4.35
705,580.00,13.68,522.00,13.68,51.91,56.07,61.70,100.00,5.02
708,2090.00,13.70,524.00,13.70,51.80,56.07,61.59,100.00,5.08
711,1944.00,13.68,456.00,13.68,51.69,56.07,61.70,100.00,4.88
714,1972.00,13.69,456.00,13.69,51.69,56.07,61.59,100.00,3.05
717,1976.00,13.69,458.00,13.69,51.69,56.07,61.59,100.00,2.64
720,514.00,13.67,574.00,13.69,51.69,56.07,61.59,100.00,4.69
723,1894.00,13.69,524.00,13.69,51.69,56.07,61.59,100.00,4.08
726,1960.00,13.70,466.00,13.70,51.69,55.96,61.59,100.00,3.81
729,1916.00,13.70,518.00,13.70,51.69,56.07,61.59,100.00,4.90
732,1972.00,13.72,466.00,13.68,51.69,56.07,61.59,100.00,4.27
735,1766.00,13.72,458.00,13.72,51.69,56.07,61.59,100.00,3.72
738,1998.00,13.70,458.00,13.70,51.69,55.96,61.59,100.00,5.16
741,2008.00,13.71,452.00,13.72,51.69,56.07,61.59,100.00,5.79
744,2018.00,13.72,456.00,13.72,51.69,55.96,61.47,100.00,4.40
747,576.00,13.70,512.00,13.70,51.69,55.96,61.59,100.00,4.21
750,2048.00,13.74,452.00,13.74,51.57,55.96,61.59,100.00,7.31
753,2080.00,13.74,456.00,13.74,51.57,56.07,61.47,100.00,7.42
756,2100.00,13.76,448.00,13.75,51.35,55.96,61.47,100.00,6.89
759,2152.00,13.76,442.00,13.73,51.24,55.96,61.47,100.00,6.00
762,2206.00,13.78,448.00,13.78,51.13,55.96,61.47,100.00,6.24
765,2176.00,13.80,522.00,13.80,51.01,55.96,61.36,100.00,4.63
768,2278.00,13.80,456.00,13.80,50.90,55.96,61.36,100.00,6.39
771,2334.00,13.82,458.00,13.79,50.90,55.96,61.36,100.00,5.31
774,586.00,13.79,524.00,13.81,50.79,56.07,61.36,100.00,3.83
777,2334.00,13.83,466.00,13.82,50.79,55.96,61.36,100.00,4.12
780,2320.00,13.82,522.00,13.82,50.67,55.96,61.36,100.00,2.96
783,2378.00,13.83,466.00,13.82,50.79,55.96,61.36,100.00,3.62
786,524.00,13.80,518.00,13.79,50.79,56.07,61.36,100.00,4.13
789,2468.00,13.81,456.00,13.81,50.79,55.96,61.36,100.00,4.26
792,2342.00,13.82,448.00,13.81,50.79,55.96,61.36,100.00,4.25
