# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MAIN], DS18 Temp(F)[Batt], DS18 Temp(F)[MCU], Light (%), Wind Speed
51,390.00,13.49,718.00,13.49,48.54,53.15,54.05,100.00,0.74
54,476.00,13.50,482.00,13.50,48.65,53.15,54.16,100.00,0.67
57,462.00,13.50,476.00,13.49,48.65,53.15,54.16,100.00,0.72
60,394.00,13.49,540.00,13.49,48.54,53.26,54.05,100.00,0.71
63,452.00,13.50,476.00,13.49,48.65,53.15,54.16,100.00,0.82
66,384.00,13.49,544.00,13.48,48.65,53.26,54.16,100.00,1.11
69,370.00,13.49,548.00,13.48,48.54,53.15,54.16,100.00,1.12
72,364.00,13.49,540.00,13.48,48.65,53.26,54.16,100.00,1.12
75,420.00,13.49,482.00,13.48,48.65,53.15,54.05,100.00,0.97
78,358.00,13.48,550.00,13.48,48.54,53.15,54.16,100.00,0.85
81,416.00,13.48,482.00,13.48,48.65,53.15,54.16,100.00,0.74
84,400.00,13.48,472.00,13.48,48.65,53.15,54.16,100.00,0.84
87,328.00,13.48,544.00,13.47,48.65,53.15,54.16,100.00,0.92
90,396.00,13.48,482.00,13.47,48.76,53.15,54.16,100.00,1.05
93,328.00,13.47,540.00,13.47,48.65,53.15,54.16,100.00,0.92
96,380.00,13.47,472.00,13.47,48.65,53.15,54.05,100.00,1.23
99,308.00,13.47,544.00,13.46,48.76,53.15,54.05,100.00,1.02
102,308.00,13.47,540.00,13.47,48.76,53.15,54.16,100.00,1.12
105,368.00,13.47,478.00,13.47,48.76,53.15,54.16,100.00,1.05
108,354.00,13.47,484.00,13.46,48.76,53.15,54.16,100.00,1.05
111,282.00,13.46,548.00,13.46,48.76,53.15,54.16,99.98,1.02
114,282.00,13.46,550.00,13.46,48.76,53.15,54.16,99.94,1.02
117,340.00,13.46,482.00,13.46,48.76,53.15,54.16,99.90,0.92
120,334.00,13.46,478.00,13.46,48.76,53.15,54.16,99.86,0.82
123,318.00,13.46,472.00,13.45,48.76,53.15,54.16,99.82,0.71
126,258.00,13.46,534.00,13.45,48.76,53.26,54.05,99.78,1.02
129,256.00,13.45,540.00,13.45,48.76,53.15,54.16,99.73,1.11
132,304.00,13.45,482.00,13.45,48.88,53.15,54.16,99.68,1.45
135,236.00,13.45,544.00,13.45,48.88,53.15,54.16,99.63,1.45
138,236.00,13.45,548.00,13.44,48.88,53.15,54.16,99.57,1.45
141,226.00,13.45,548.00,13.44,48.76,53.15,54.16,99.49,1.42
144,282.00,13.45,478.00,13.44,48.76,53.26,54.16,99.42,1.33
147,210.00,13.44,540.00,13.44,48.76,53.15,54.16,99.34,1.35
150,278.00,13.45,476.00,13.44,48.76,53.15,54.16,99.24,1.23
153,268.00,13.44,476.00,13.44,48.76,53.26,54.16,99.12,1.52
156,204.00,13.44,540.00,13.44,48.88,53.15,54.05,98.99,1.65
