# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MAIN], DS18 Temp(F)[Batt], DS18 Temp(F)[MCU], Light (%), Wind Speed
4,636.00,12.30,558.00,12.30,29.30,28.51,39.54,100.00,1.66
7,512.00,12.29,544.00,12.29,29.41,28.63,39.54,100.00,1.45
10,436.00,12.28,478.00,12.27,29.52,28.40,39.65,100.00,1.32
13,456.00,12.26,478.00,12.26,29.41,28.51,39.65,100.00,1.25
16,512.00,12.24,550.00,12.24,29.52,28.63,39.54,100.00,2.36
19,514.00,12.24,544.00,12.23,29.52,28.51,39.54,100.00,2.45
22,502.00,12.22,544.00,12.22,29.64,28.63,39.42,100.00,2.19
25,440.00,12.22,472.00,12.22,29.75,28.63,39.54,100.00,2.62
28,440.00,12.22,472.00,12.21,29.64,28.63,39.54,100.00,2.62
31,512.00,12.20,540.00,12.20,29.86,28.51,39.65,100.00,2.31
34,514.00,12.20,548.00,12.19,29.75,28.51,39.65,100.00,1.96
37,514.00,12.19,540.00,12.18,29.75,28.63,39.65,100.00,1.86
40,502.00,12.18,538.00,12.18,29.75,28.63,39.65,100.00,1.90
43,442.00,12.18,476.00,12.17,29.64,28.63,39.65,100.00,2.36
46,508.00,12.16,540.00,12.16,29.86,28.63,39.65,100.00,2.74
49,508.00,12.16,538.00,12.15,29.75,28.74,39.65,100.00,2.76
52,514.00,12.16,544.00,12.15,29.86,28.74,39.65,100.00,2.29
55,514.00,12.14,544.00,12.14,29.86,28.74,39.65,100.00,1.84
58,440.00,12.15,482.00,12.14,29.86,28.63,39.65,100.00,2.26
61,590.00,12.13,540.00,12.12,29.86,28.63,39.65,100.00,2.62
64,504.00,12.13,538.00,12.12,29.86,28.63,39.65,100.00,2.98
67,512.00,12.12,530.00,12.12,29.86,28.74,39.65,100.00,2.88
70,440.00,12.12,472.00,12.12,29.98,28.63,39.65,100.00,3.00
73,492.00,12.11,540.00,12.11,29.98,28.63,39.65,100.00,3.19
76,440.00,12.11,472.00,12.11,29.75,28.63,39.76,100.00,2.78
79,442.00,12.10,482.00,12.10,29.86,28.74,39.65,100.00,2.72
82,442.00,12.10,476.00,12.09,29.75,28.63,39.65,100.00,3.06
85,426.00,12.10,478.00,12.09,29.75,28.74,39.76,100.00,2.80
88,432.00,12.09,476.00,12.08,29.75,28.63,39.65,100.00,2.37
91,442.00,12.08,478.00,12.08,29.75,28.74,39.76,100.00,2.24
